HGNC symbol	Protein stable ID
MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	ENSP00000354687
MT-TI	
MT-TQ	
MT-TM	
MT-ND2	ENSP00000355046
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	ENSP00000354499
MT-TS1	
MT-TD	
MT-CO2	ENSP00000354876
MT-TK	
MT-ATP8	ENSP00000355265
MT-ATP6	ENSP00000354632
MT-CO3	ENSP00000354982
MT-TG	
MT-ND3	ENSP00000355206
MT-TR	
MT-ND4L	ENSP00000354728
MT-ND4	ENSP00000354961
MT-TH	
MT-TS2	
MT-TL2	
MT-ND5	ENSP00000354813
MT-ND6	ENSP00000354665
MT-TE	
MT-CYB	ENSP00000354554
MT-TT	
MT-TP	
	
	
	ENSP00000484923
	ENSP00000478665
PCMTD2	ENSP00000486003
PCMTD2	ENSP00000487463
PCMTD2	ENSP00000486648
PCMTD2	ENSP00000486510
PCMTD2	ENSP00000486493
PCMTD2	
PCMTD2	ENSP00000486313
PCMTD2	ENSP00000485733
PCMTD2	
PCMTD2	
PCMTD2	
PCMTD2	ENSP00000482166
PCMTD2	ENSP00000478638
INTS3	ENSP00000460221
INTS3	ENSP00000458631
INTS3	
INTS3	ENSP00000459907
INTS3	ENSP00000485412
INTS3	
INTS3	ENSP00000459285
INTS3	
INTS3	
INTS3	
INTS3	ENSP00000485252
	ENSP00000484918
KIR2DL3	ENSP00000482248
	
	
KIR2DL4	ENSP00000482383
LINC02109	
LINC02109	
LINC02109	
LINC02109	
LINC02109	
KIR3DL2	ENSP00000482956
KIR3DL2	ENSP00000480951
KIR3DL1	ENSP00000478759
KIR3DL1	ENSP00000481266
KIR3DL1	ENSP00000483200
KIR3DL1	ENSP00000484895
KIR3DL3	ENSP00000480099
	
LILRP2	
LILRP2	
KIR2DL1	ENSP00000480989
KIR2DL3	ENSP00000483975
	
KIR3DL3	ENSP00000479747
LILRP1	
KIR2DL3	ENSP00000481237
KIR3DL1	ENSP00000481576
KIR3DL1	ENSP00000478631
OPRL1	ENSP00000478920
OPRL1	ENSP00000485794
OPRL1	ENSP00000487083
KIR2DL4	ENSP00000477886
NPBWR2	ENSP00000484253
KIR2DS4	ENSP00000478998
KIR2DS4	ENSP00000479129
	
KIR2DS4	ENSP00000479369
MYT1	ENSP00000481863
MYT1	ENSP00000477771
MYT1	
MYT1	ENSP00000478819
MYT1	ENSP00000483021
NCR1	ENSP00000477986
NCR1	
NCR1	
NCR1	ENSP00000483780
NCR1	ENSP00000484847
NCR1	ENSP00000479161
KIR2DS4	ENSP00000484123
KIR2DL4	ENSP00000484019
KIR2DL4	ENSP00000484890
KIR2DL4	ENSP00000477984
KIR2DL4	ENSP00000479000
KIR2DL4	
KIR2DL4	ENSP00000484815
KIR3DL1	ENSP00000478110
KIR3DL1	ENSP00000483664
KIR3DL1	ENSP00000479469
KIR3DP1	ENSP00000480312
KIR2DL4	ENSP00000484336
KIR2DL4	ENSP00000477834
KIR2DS2	ENSP00000481307
KIR2DS2	ENSP00000482387
KIR3DL2	ENSP00000483218
KIR3DL2	ENSP00000478100
LILRP2	
LILRP2	
KIR2DL1	ENSP00000482449
KIR2DS4	ENSP00000478383
KIR3DL1	ENSP00000484972
KIR3DS1	ENSP00000477819
	
KIR2DL1	ENSP00000481123
KIR2DL2	ENSP00000482201
KIR2DS3	ENSP00000480969
KIR3DL3	ENSP00000478741
	
	
	
	
KIR2DL4	ENSP00000484171
KIR2DL4	ENSP00000480253
	
KIR3DL1	ENSP00000482160
FCAR	ENSP00000479924
FCAR	ENSP00000484136
FCAR	ENSP00000479880
FCAR	
FCAR	ENSP00000478465
FCAR	ENSP00000479239
FCAR	ENSP00000478163
FCAR	
FCAR	
FCAR	ENSP00000483258
FCAR	ENSP00000483121
FCAR	ENSP00000477656
FCAR	ENSP00000477673
KIR3DL3	ENSP00000481664
KIR3DL3	ENSP00000478407
KIR3DL3	ENSP00000477890
KIR2DL2	ENSP00000481907
KIR2DL1	ENSP00000478895
KIR2DS4	ENSP00000481279
	
KIR2DL2	ENSP00000480161
KIR3DL2	ENSP00000484092
KIR3DL2	ENSP00000478587
KIR2DL1	ENSP00000479574
	
KIR2DS4	ENSP00000481214
KIR2DL1	ENSP00000484871
KIR3DL3	ENSP00000484879
KIR2DS5	ENSP00000483733
FCAR	ENSP00000482741
FCAR	ENSP00000480013
FCAR	ENSP00000481560
FCAR	
FCAR	ENSP00000479738
FCAR	ENSP00000480498
FCAR	ENSP00000477966
FCAR	
FCAR	
FCAR	ENSP00000484917
FCAR	ENSP00000479360
FCAR	ENSP00000482976
FCAR	ENSP00000480406
KIR2DL2	ENSP00000484319
KIR2DL2	ENSP00000483945
KIR2DL4	ENSP00000484307
