,label,sentence
0,0,"as shown in figure  2g  , co-ip revealed that [GENE] overexpression enhances chip and ar interactions , thus further substantiating the gst-pulldown [EXPE] results , with gst-chip able to pull-down more ar protein when incubated with hek293 cell lysates cotransfected with pc-1 ( figure  2h  )"
1,1,[EXPE] analysis also revealed an elevation of [GENE] caused by the SENP2 deletion in TS cells (  Figure 9 P ) 
2,0,We also examined lung airways for CEACAM6 [EXPE] with and without bleomycin using [GENE] as an epithelial marker 
3,1,( F )  [EXPE] analysis of  cyclinB1  (  [GENE]  ) 
4,1,"notably , expression of the apc4 kr  mutant was not fully effective in [EXPE] the [GENE] knockdown defects , in comparison to full rescue by apc4 (  figure 2a and c–e  )"
5,0,"quantitative rt-pcr in transiently tp53 or tp63 [EXPE] hfks confirms that down-regulation of rad51b , [GENE] and xrcc4 occur in a tp53-dependent manner in both transiently and stably tp53 depleted cells ( figure  5g  and figure s13c–e )"
6,0,Western results for HA-TRF1 with TRF1 siRNA [EXPE] cells showed only expression of exogenous [GENE] under both conditions 
7,0,"similarly , although most wild type cgnps each contained two centrioles , as determined by γ ˜tubulin- and cep120-positive staining , most [GENE] mutant cells lacked both γ ˜tubulin and cep120 [EXPE]"
8,1,Interestingly  the expression levels of [GENE] and BRCA1 were significantly correlated in our [EXPE] cohort (  P  = 0006 ) 
9,0,Although AURKA [EXPE] decreased the basal level of [GENE]  the half-life of c-Myc was not affected (  Supplementary Fig 2j  ) 
10,0,"we [EXPE]  drosophila  eb1 without his tags , mixed it with tubulin , and assessed its molecular activity in four independent experiments ( the autonomous plus end–tracking ability of  drosophila  [GENE] was confirmed by using purified eb1-gfp;  fig. 2 , a and b  , bottom )"
11,1,We also examined CDK11  CCNL1 and [GENE] gene expression levels using the TCGA [EXPE] data 
12,0,"to validate the [EXPE] results , we examined the interaction of endogenous pten with eg5 and detected pten-bound eg5 in both hela cells and  [GENE] +/+  mefs , but not in  pten  null cells (  fig. 3c ;  supplementary fig. 3b  )"
13,0,"we performed chromatin [EXPE] ( chip ) in kp21-4 cells with anti-p21 antibody , and asked for p21 binding in the vicinity of the transcription start site ( tss ) of human  [GENE]  and other p21-repressed genes"
14,0,To explore this point  we performed an experiment to establish whether [GENE] comet -induced death can be [EXPE] by Mad2 
15,0,"we found that  cdc20b  [EXPE] did not interfere with acquisition of the [GENE] fate ( supplementary figure  6a–e  ) , but severely impaired multiciliogenesis , as revealed by immunofluorescence and electron_microscopy ( fig.  5a–i  )"
16,1,We therefore investigated the transcripts to which both [GENE] and YTHDC2 bind via RNA [EXPE] and sequencing ( RIP-seq ) 
17,0,Both  [GENE] -KD U251MG cells and control U251MG cells [EXPE] positive for PH3  a marker for mitosis 
18,0,The checkpoint is restored when the wild-type [GENE] translation was added back to the [EXPE] extract (  Fig 7  A ) 
19,0,As depicted in  Figure 4 a  [GENE] knockdown by specific siRNA dramatically [EXPE] the AMPKα1 −/− -upregulated PLK4 mRNA 
20,1,"Furthermore , following siRNA [EXPE] of [GENE] , we observed a significant increase in the level of the DNA damage chromatin mark γH2AX in interphase nuclei , in particular with the ALT cells ( Supplementary Figure S8 )."
21,0,e  Expression of differentiation markers K1  [GENE]  involucrin ( Invol ) or loricrin by [EXPE] 
22,0,"in order to reduce the incidence of cell line-dependent variables , we compared both parental  oa1 +/+  and  oa1 +/−  versus  [GENE] −/−  lines , and [EXPE]  oa1 −/− loa1sn versus  oa1 −/− loa1δ18sn lines"
23,0,"the  cp110 [EXPE]  embryos exhibited characteristic defects , including preaxial polydactyly , cardiac abnormalities and severe skeletal defects (  fig. 1 d-g ) , reminiscent of [GENE] features of ciliopathies and a perturbation in shh signaling"
24,0,Indeed  upon knockdown of [GENE]  cell viability was markedly [EXPE] at 96 h post transfection (  Figures 6c  ) 
25,0,Forty-eight hours after siRNA [EXPE] cells were fixed and stained for [GENE] 
26,1,This gene was also identified as the most distant [GENE] family member in the [EXPE] study ( Meraldi et al  2006  ) 
27,0,We presume that residual APC/C activity following APC2 or [GENE] depletion is due to the incomplete penetrance of [EXPE] 
28,0,The same abundance in RPEp53 [EXPE]  and RPEp53 −/− STIL −/−  [GENE] 
29,1,[EXPE] analysis confirmed the successful overexpression of [GENE] in the cells (  Figure 4A  ) 
30,0,We next [EXPE] lamin B1 using siRNAs and monitored [GENE] pS335  localization during metaphase and anaphase 
31,1,In addition  we further confirmed the LC3B and [GENE] mRNA level increase by real-time [EXPE] ( Figure  5C  ) 
32,0,"fish were then continuously exposed to the [EXPE] until zt6′ , to cover the period of increased [GENE] transcript expression and rapid increase in the number of brdu-positive cells , requiring cyclin-activated d1 kinases to move cells toward the g 1 /s checkpoint"
33,1,"quantitative [EXPE] in transiently [GENE] or tp63 depleted hfks confirms that down-regulation of rad51b , msh2 and xrcc4 occur in a tp53-dependent manner in both transiently and stably tp53 depleted cells ( figure  5g  and figure s13c–e )"
34,1,To examine the levels of cyclin B1 and [GENE] in more detail  we performed time-lapse video [EXPE] experiments 
35,0,Similarly  only the S1033D phospho-mimetic [GENE] mutant was able to [EXPE] the dendrite branching defect ( Fig  3b  d  ) 
36,1,"however , rassf1a was stabilized in cells [EXPE] with [GENE] sirna"
37,0,"however , this localization of [GENE] is visible early in metaphase and is persistent until late anaphase ( fig.  6  ) , in contrast to the [EXPE] previously described for dynamitin , which was found at the kinetochores only up to the alignment of chromosomes at the metaphase plate (  echeverri et al. , 1996  )"
38,0,"to investigate whether [GENE] can recognize ptms on histone tails , we incubated recombinant pwwp2a or its truncations with micrococcal nuclease ( mnase )-digested mononucleosomes derived from hela kyoto ( hk ) cells and investigated ptm enrichment in [EXPE] ( fig.  2c  )"
39,0,cnn1 [EXPE]   cnn1 lox   and [GENE] lox cnn2 −/−  cell lines displayed reduced clonogenic potential 
40,0,[GENE] has been shown to be [EXPE] in several cancers  in particular colorectal cancer 
41,1,Further evidence of possible co-localisation of ALADIN and [GENE] is given after immunofluorescent [EXPE] 
42,0,This mitotic [GENE] of BAF phosphorylation is strongly diminished by VRK1 [EXPE] (  Figure 2  ) 
43,0,We conclude that [EXPE] of hNaa30 leads to fragmentation of GA and [GENE]  independent of mitotic or apoptotic GA dispersion 
44,0,"we found that treatment with the mt-stabilizing [EXPE] taxol also decreased the percentage of cells with [GENE] or pcm1 staining at cs ( fig.  5b  and supplementary fig.  7c , d  )"
45,0,"to identify [GENE] interacting proteins and potential substrates , we [EXPE] an egfp-tagged plk2 kinase-inactive mutant ( plk2 kd ) into hela cells and immunoprecipitated the proteins by using anti-gfp antibodies"
46,0,A more severe effect with aPKC and [GENE] polarity maintenance was observed in Moe [EXPE]  metaphase NBs 
47,1,[EXPE] of UbcH10 but not [GENE] mildly delayed the degradation of eGFP‐cyclin A2 ( Fig  4 F ) 
48,0,"quantification of cyclin b1 localization in g2 cells 6 h after oht addition , shows that ~30% of the cells translocated [GENE] to the nucleus , and this was completely suppressed by the addition of an atr [EXPE] ( fig.  2d  )"
49,0,[GENE] knockdown strongly reduced the cytotoxic effect of Chk1 [EXPE] (   Fig 8A   ) 
50,0,"furthermore , [EXPE] of cdk1/2 activation during the cell cycle by use of roscovitine , a specific pan cdk inhibitor , did not alter cdh1 phosphorylation at thr32 and ser 36 (  figure 7  ) , suggesting that jnk is a  bona fide  kinase for [GENE] during the cell cycle that acts independently of cdks"
51,0,"neither panks nor [GENE] sirnas triggered tpx2 upregulation or similar multi-nucleation phenotypes seen with coasy [EXPE] ( supplementary fig.  6h , i  )"
52,1,Furthermore  we confirmed that [GENE] is an SDA component by [EXPE] (  Fig 5h  ) 
53,1,The pellets were subsequently probed for [GENE] and CA by western [EXPE] 
54,0,However  Sf3A2 or Prp31 [EXPE] strongly reduced kinetochore localization of [GENE] and Spc25/Mitch (  Figure 7A–C  ) 
55,1,We then tested whether [GENE] bound KNL1 2106–2316  in a size-exclusion [EXPE] coelution experiment 
56,0,In all three cases  we found a rise in  [GENE]  promoter activity upon [EXPE] of E2F1-3 (  Figure 3 D ) 
57,0,"in order to reduce the incidence of cell line-dependent variables , we compared both parental  oa1 +/+  and  oa1 +/−  versus  [GENE] −/−  lines , and transduced  oa1 [EXPE] loa1sn versus  oa1 −/− loa1δ18sn lines"
58,0,"however , although these [EXPE] had no effect on skap localization to kinetochores aligned at the metaphase plate , [GENE] failed to localize to the misaligned chromosomes caused by each of these perturbations (  fig. 2 f  , enlarged panels on the right )"
59,0,"to identify new [GENE] substrates relevant to chromosome dynamics , tandem affinity purification ( tap ) of a substrate-trapping mutant of the fission yeast cdc14 phosphatase , clp1 , was performed from mitotic cells , and associated proteins were identified by 2d liquid [EXPE] mass_spectrometry ( ms )"
60,0,"to investigate whether pwwp2a can recognize ptms on histone tails , we incubated [EXPE] pwwp2a or its truncations with micrococcal nuclease ( mnase )-digested mononucleosomes derived from hela kyoto ( [GENE] ) cells and investigated ptm enrichment in immunoblots ( fig.  2c  )"
61,1,"By [EXPE] , [GENE] expression was observed localised to the lingual dental epithelium and the tip of the tail at E14.5 (  Fig. 4 A-L )."
62,0,Thus  [EXPE] of HP1 should only inhibit the accumulation of [GENE] N  and not impede the recruitment of NIPBL C  
63,0,To examine whether PP1 can dephosphorylate [GENE]  we performed  in vitro  phosphatase [EXPE] on precipitated MASTL 
64,0,Although [EXPE] of Scc3 did not affect protein levels of [GENE]  it did alter its modification 
65,1,"Both [GENE] [EXPE] cell lines displayed a significant destabilization of astral MTs in mitosis (  Fig. 1 , A , B , and D–F  )."
66,1,We also examined [GENE]  CCNL1 and CDK11 gene expression levels using the TCGA [EXPE] data 
67,0,As shown in  Figure 7C and D   neither overexpression nor [EXPE] of SKAP changed the RNA level of [GENE] 
68,0,We also generated  MYO5B  [EXPE] human embryonic kidney ( [GENE] )293 cells ( HEK293 MYO5B−/− ; see  S9A Fig  ) 
69,0,These findings suggest that CIMD is a main mechanism by which microtubule [EXPE] and 17-AAG kill tumor cells with [GENE] 
70,1,We used chromatin fractionation assays in asynchronously growing HEK293 cells [EXPE] with full-length NFAT5 or [GENE] 
71,0,"in order to reduce the incidence of cell line-dependent variables , we compared both parental  oa1 +/+  and  [GENE] +/−  versus  oa1 −/−  lines , and transduced  oa1 −/− loa1sn versus  oa1 [EXPE] loa1δ18sn lines"
72,0,"two independent sirnas targeting kifc1 were used to examine the role of kifc1 in the development and progression of [GENE] , with that the mrna and protein expression of kifc1 shown to be significantly silenced by rt-qpcr and western blot analyses at 48 h post-sirna [EXPE] (  fig. 2b and c  )"
73,0,Therefore we analyzed the behavior of BubR1-GFP after  Mps1  [EXPE] in  mad2 +  and  [GENE] −  embryos (  Figure 6  ) 
74,0,Next  we [EXPE] mutated- and WT-p53 into HCT116 cells lacking endogenous [GENE] 
75,1,"two independent [EXPE] targeting [GENE] were used to examine the role of kifc1 in the development and progression of hcc , with that the mrna and protein expression of kifc1 shown to be significantly silenced by rt-qpcr and western blot analyses at 48 h post-sirna transfection (  fig. 2b and c  )"
76,0,"quantification of cyclin b1 localization in [GENE] cells 6 h after oht addition , shows that ~30% of the cells translocated cyclin b1 to the nucleus , and this was completely suppressed by the addition of an atr [EXPE] ( fig.  2d  )"
77,1,Of all the proteins we examined  only [GENE] Glued  could be [EXPE] without impact on other dynactin subunits 
78,0,"as shown in figure  2g  , co-ip revealed that pc-1 [EXPE] enhances chip and ar interactions , thus further substantiating the gst-pulldown assay results , with gst-chip able to pull-down more ar protein when incubated with hek293 cell lysates cotransfected with [GENE] ( figure  2h  )"
79,0,The proteasome inhibitor MG132 [EXPE] the V158411 induced degradation of [GENE] in Jurkat and Raji cells ( Figure  5 C ) 
80,0,We then repeated the [EXPE] using strains in which either wild-type [GENE] or mutant Ndc80-F420S proteins were overproduced 
81,1,a significant increase in the percentage of cells in the g 2 /m phase and decrease in the percentage of cells in s phase were observed 72 hr after  [GENE]  [EXPE] ( figure  4d  )
82,0,"these observations suggest that both flfl and [GENE] are novel substrates of pp4 , although we cannot rule out the possibility of the indirect [EXPE] of some secondary phosphatase on pp4 knockdown"
83,0,Thus  our data reveal that [EXPE] of the miRNA miR-24-3p leads to [GENE] activation 
84,0,Orc6 [EXPE] had no effect on Hec1 or [GENE] kinetochore localization however (  Fig S5d and S5e  ) 
85,0,"in contrast , cep152 was no longer observed at the mtocs following plk4 [EXPE] ( n = 8 ) , although it was still found in interphase nuclei and over the mitotic spindle , indicating that cep152 requires [GENE] to localize to the mtocs"
