Symbol,Score
CASP8AP2,0.151
TUBGCP3,0.237
POLD2,0.885
CDK1,0.213
CEP152,0.999
THOC1,0.116
RPGRIP1L,0.884
ALMS1,0.991
BECN1,0.721
TUBGCP5,0.253
ESF1,0.143
ZNHIT3,0.875
PIBF1,0.119
CCDC88A,0.100
MYO6,0.622
ENKD1,0.347
RBBP6,0.147
CDK5RAP2,0.910
KIFC1,0.262
SEPTIN8,0.842
CENPE,0.154
CEP89,0.909
STIL,0.998
SRRT,0.177
RBM39,0.231
POLD1,0.939
RAN,0.112
MPHOSPH9,0.141
EGLN2,0.359
SDCCAG8,0.968
OFD1,0.978
KIF20B,0.226
BRCA1,0.324
CEP95,0.104
NIN,0.987
TAF1D,0.313
HAUS3,0.336
SEPTIN2,0.750
KIAA1671,0.173
MATR3,0.143
SEPTIN7,0.165
CEP78,0.158
BIRC6,0.149
RPS7,0.344
HNRNPR,0.127
WRN,0.176
TOPBP1,0.138
MCM4,0.106
ZMAT3,0.565
TACC3,0.279
CDC16,0.319
KIF23,0.196
BLM,0.112
SLMAP,0.867
MARK3,0.225
SIL1,0.323
PCM1,0.987
PPP2R2A,0.941
ASXL2,0.569
CEP19,0.850
MCM3,0.203
AURKA,0.996
BRCA2,0.179
NNT,0.614
MEN1,0.697
CEP350,0.985
SEPTIN10,0.910
SEPTIN6,0.879
TXNDC9,0.125
CDC7,0.227
CCT5,0.430
MCM5,0.134
SYNCRIP,0.128
ORC2,0.287
RBM12B,0.635
SS18,0.134
ODF2L,0.197
NAB1,0.630
USP42,0.647
KATNA1,0.112
CEP70,0.131
CEP76,0.145
MRPL43,0.807
SPICE1,0.111
RAD18,0.122
NCAPH,0.125
ZZZ3,0.110
MCM2,0.111
TTC14,0.134
USP1,0.109
U2SURP,0.118
ECT2,0.154
CKAP2,0.250
BAP1,0.676
ZNF322,0.150
RFC5,0.175
XPO1,0.123
TBCCD1,0.162
ZNF292,0.938
WDHD1,0.159
CCNB1,0.316
LARP7,0.936
CAMK2D,0.806
CPSF3,0.899
CETN3,0.246
LRRCC1,0.232
SNRPG,0.983
SMARCAD1,0.107
ANAPC4,0.101
CEP170,0.990
SPDL1,0.274
KIF2A,0.969
GMNN,0.971
TBC1D31,0.293
TTK,0.160
CEP44,0.189
POC5,0.996
MAD2L1,0.310
HMMR,0.376
EZH2,0.934
DIS3L,0.110
NCAPD2,0.124
RBM22,0.212
PPP1CA,0.743
PPP2R5D,0.838
NSD3,0.833
DYNC1I2,0.992
TCP1,0.425
CCNE2,0.137
NPM1,0.333
POLD3,0.984
USP33,0.138
AHNAK,0.601
CSTF3,0.281
CDC27,0.360
RBM25,0.100
POC1B,0.252
FEZ1,0.112
KIAA0753,0.955
CENPJ,0.999
CEP162,0.115
MDM1,0.174
CEP57,0.142
NUP107,0.190
RNF41,0.130
CCT2,0.112
MRE11,0.123
PAN2,0.152
NUP85,0.248
SKA3,0.204
DTL,0.242
NEDD1,0.996
PLK4,1.000
KIF2C,0.135
PRC1,0.220
C2CD5,0.237
CEP128,0.958
NINL,0.870
SGO1,0.368
BAG5,0.588
KDM1B,0.289
PPP4R3A,0.227
LATS1,0.937
TCERG1,0.139
CKAP2L,0.533
HAUS4,0.323
CRTC3,0.603
CCP110,0.932
PSME3IP1,0.520
EIF2AK4,0.953
NDC80,0.329
CFAP20,0.150
PPP4C,0.158
CEP85,0.737
DCTPP1,0.910
OGA,0.453
ZWILCH,0.120
CNTROB,0.970
TIPIN,0.177
CCNB2,0.312
NUDT21,0.121
SPATA2L,0.119
NUSAP1,0.115
HAUS2,0.220
VRK1,0.125
COX5A,0.881
CYLD,0.993
SHCBP1,0.147
TRIM37,0.405
CASC3,0.625
NUBP1,0.161
TOP2A,0.122
PLK1,0.281
CEP131,0.918
COPE,0.192
SEPTIN9,0.671
CDC6,0.300
HAUS5,0.135
TUBG1,0.107
KLHL12,0.139
VPS4B,0.101
AURKB,0.506
PJA2,0.486
KIF4A,0.116
DHX15,0.224
HOMER3,0.287
PRPF3,0.112
CKS1B,0.186
SLC16A1,0.187
H2AX,0.145
PCNA,0.467
CCT4,0.117
KIF11,0.152
TUBB,0.199
GTF2F2,0.119
NFX1,0.150
TAF5,0.158
ODF2,0.876
BEND3,0.326
KHDRBS1,0.100
PDE6H,0.650
DCAF12,0.131
BMS1,0.111
TMSB10,0.950
FKBP5,0.179
CNTRL,0.975
HAUS6,0.386
DHX9,0.294
CDC20,0.360
EIF3A,0.999
CAP1,0.900
H4C4,0.430
KIF4B,0.117
CEP135,0.986
HEATR3,0.320
ASPM,0.105
SASS6,0.242
SRBD1,0.126
YOD1,0.101
RANBP9,0.151
NOC3L,0.107
KIF18A,0.143
SNRNP40,0.113
GID8,0.835
TOPORS,0.150
LATS2,0.643
RCC2,0.139
SMC3,0.190
GAR1,0.937
YTHDF2,0.268
MAGED1,0.368
