Symbol,Score
PYCR2,0.159
CHEK1,0.104
TUBGCP3,0.995
PTBP1,0.160
CDK1,0.685
CEP152,0.897
HNRNPU,0.232
TTLL5,0.306
MBD3,0.806
DEUP1,0.124
CUL3,0.240
CLTC,0.216
PRKACB,0.139
HYOU1,0.106
TUBGCP5,0.358
MASTL,0.110
CCDC88A,0.103
SIRT2,0.755
UPF3B,0.123
DISC1,0.961
CDK5RAP2,0.998
AKAP9,0.900
KIF16B,0.147
KIFC1,0.567
LARS1,0.139
MYO5A,0.169
BICD1,0.173
MED4,0.757
INO80,0.148
RAN,0.236
IMMT,0.214
CEP290,0.941
CUL1,0.840
IPO5,0.107
HSPH1,0.173
KIF20B,0.171
CCT7,0.351
NUDC,0.883
LRPPRC,0.374
DDX46,0.144
KIF21A,0.172
KIF13A,0.105
HAUS3,0.120
RILPL1,0.121
QARS1,0.100
PON2,0.114
SEPTIN2,0.126
GAN,0.188
CLIP1,0.351
DCPS,0.913
SPAST,0.170
CCHCR1,0.960
DPP9,0.488
DYNC1H1,0.536
CDC16,0.343
KIF23,0.509
TBCE,0.465
HDAC6,0.165
PMS2,0.132
TSC1,0.176
CDC45,0.126
BIRC7,0.328
CNOT1,0.143
SPECC1L,0.130
CCDC66,0.357
PCM1,1.000
TP53BP1,0.725
CSNK1A1,0.168
TCP10L,0.374
CALM1,0.990
CALM2,0.993
CALM3,0.954
MCM3,0.209
STMN1,0.116
AURKA,0.519
CCT3,0.174
PES1,0.133
RAB11A,0.267
CDC7,0.106
CCT5,0.755
DNM1L,0.265
ORC2,0.199
DLST,0.111
DYNC1LI2,0.709
DRG2,0.103
SEC61A1,0.123
CSNK1D,0.248
EML4,0.113
TUBGCP2,0.482
KATNA1,0.334
PKN2,0.240
IMP4,0.562
RBBP7,0.563
AP1B1,0.116
OLA1,0.145
KIF15,0.132
MAD1L1,0.239
PSMD2,0.127
NCKIPSD,0.131
DYNC1LI1,1.000
KLHL22,0.126
YBX1,0.981
PRKAR2A,0.986
CLASP1,0.241
CKAP2,0.228
AAMP,0.108
ROCK2,0.285
DCTN1,0.607
DCTN4,0.140
TRMT2A,0.147
NDRG1,0.102
CEP170,0.993
SLAIN2,0.113
KIF2A,0.526
FBXW11,0.787
C7orf50,0.616
MAD2L1,0.211
CHID1,0.123
PSEN1,0.118
INCENP,0.156
EZR,0.112
SKP1,0.463
DYNC1I2,0.450
STIM1,0.115
TUBGCP6,0.145
TCP1,0.399
RUVBL1,0.141
KNTC1,0.174
TCP11L1,0.569
AIFM1,0.130
TNPO1,0.107
DCTN2,0.449
CKAP5,0.884
CDC27,0.415
PSMD5,0.178
DYNLL1,0.148
KLC1,0.107
CEP162,0.991
MDM1,0.238
CEP57,0.210
RACGAP1,0.311
FKBP4,0.189
CCT2,0.217
ECPAS,0.158
PSMD3,0.104
NEK2,0.162
NUP85,0.451
SPAG5,0.998
USP5,0.126
TUBA1B,0.116
SKA3,0.224
NIT2,0.167
ACTN1,0.104
CAMSAP2,0.261
MKS1,0.168
PLK4,0.982
P4HB,0.101
KIF2C,0.323
PRC1,0.147
C2CD5,0.154
WDR35,0.894
EMD,0.314
DAAM1,0.105
NSUN5,0.146
CCP110,0.828
NDC80,0.357
CCT8,0.563
CFAP20,0.374
TBCD,0.420
EID1,0.311
IFT140,0.150
KATNB1,0.176
MAP2K1,0.111
CCNB2,0.146
NUDT21,0.137
NUSAP1,0.136
TUBGCP4,0.441
NUP93,0.160
CYLD,0.107
MAPRE2,0.303
KEAP1,0.287
HAUS1,0.112
BCAS3,0.130
TOP2A,0.174
PLK1,0.383
CEP131,0.340
FLII,0.189
SIRT7,0.127
BRSK1,0.224
DNAJA3,0.147
PAFAH1B1,0.135
CDC6,0.146
TUBG1,0.999
NDE1,0.100
AURKB,0.379
CDK5RAP3,0.378
KIF3B,0.270
CCDC124,0.139
KIF4A,0.139
NDUFS2,0.117
MTA2,0.537
SLC25A5,0.106
CCNA2,0.146
KIF5B,0.445
ARL3,0.407
PCNA,0.114
MFAP1,0.105
CCT4,0.432
TUBB,0.128
CETN2,0.125
CCT6A,0.320
PPP4R3B,0.177
CAMSAP1,0.459
MAPRE1,0.982
CEP68,0.818
ODF2,0.129
KIF24,0.130
MPV17L2,0.289
XPNPEP1,0.106
CSNK2B,0.109
CNTRL,0.950
HAUS6,0.153
DHX9,0.145
CDC20,0.179
EIF3A,0.590
KIF4B,0.146
CEP135,0.290
MIB1,0.916
SASS6,0.341
NEK6,0.127
CCDC13,0.437
TSNAX,0.564
DYNLL2,0.137
CDC5L,0.824
STT3B,0.144
KIF18A,0.240
DNAJC9,0.210
KIFAP3,0.147
GTSE1,0.289
CEP72,0.745
MIS18A,0.590
EXOC1,0.680
RCC2,0.304
INVS,0.125
ARFGEF2,0.291
IFT52,0.130
DCAF1,0.108
SAMM50,0.145
