Symbol,Score
RFC2,0.579
HELLS,0.535
PSMB2,0.125
SHMT1,0.132
FMR1,0.168
ATP5F1D,0.165
TARDBP,0.509
CASP8AP2,0.240
CHEK1,0.912
RBM15,0.239
CSTF1,0.101
TUBGCP3,0.865
DCAF13,0.818
ZNG1A,0.162
PTBP1,0.725
CENPF,0.436
NAT10,0.486
CORO1B,0.175
MLH1,0.163
CDK1,0.985
RPL18,0.170
EIF5B,0.102
SYMPK,0.113
KHSRP,0.215
CEP152,1.000
AATF,0.163
RECQL4,0.289
MRPL46,0.114
HNRNPU,0.458
USP39,0.161
ZBTB8OS,0.119
MBD3,0.117
THOC1,0.426
JMJD4,0.105
TAF15,0.265
CUL3,0.100
ATAD5,0.155
CLTC,0.172
HSF1,0.183
MYB,0.174
RAD54L,0.314
PRKACB,0.205
UHRF1,0.167
NVL,0.213
ERGIC2,0.121
PSMB3,0.136
TP53,0.111
SLC4A1AP,0.208
ALMS1,0.994
METTL2A,0.226
ELOA,0.989
DVL1,0.100
BAZ1A,0.346
BORA,0.244
ZNG1C,0.120
POLE,0.652
UCHL3,0.198
POLA1,0.306
EMG1,0.551
RNF34,0.104
BOP1,0.431
HNRNPA2B1,0.258
EIF2D,0.171
HSPA4,0.136
C1orf109,0.901
PARG,0.235
TUBGCP5,0.319
ZNG1F,0.132
UBE2C,0.148
APOOL,0.173
CTNNBL1,0.357
PSME3,0.105
MSH6,0.692
ZC3H14,0.158
PLK2,0.281
ILK,0.109
ESF1,0.251
DDX52,0.167
POLR1D,0.111
NOP16,0.509
SRP19,0.466
ELOF1,0.141
CIBAR1,0.179
MND1,0.430
CENPP,0.553
MASTL,0.918
SMC6,0.229
SSNA1,0.209
MRPL51,0.111
NR2C1,0.165
EIF3K,0.114
PSMB6,0.178
WRAP73,0.367
CCDC88A,0.124
SRSF3,0.157
RPL13A,0.238
ILF2,0.153
PTGES3,0.477
FANCL,0.151
GGNBP2,0.101
SIRT2,0.136
ATM,0.208
MDC1,0.540
UPF3B,0.473
CDK13,0.103
E2F3,0.128
DCTN3,0.375
PITRM1,0.207
DDX27,0.567
GEN1,0.891
RAD51C,0.176
RBBP6,0.397
DDX1,0.197
WTAP,0.119
SOS2,0.102
GTF2H3,0.169
CDK5RAP2,0.968
RFC3,0.526
TONSL,0.189
PPP1CC,0.343
CCDC88C,0.192
AXIN2,0.190
ACIN1,0.210
BLOC1S2,0.258
AKT1,0.679
RRP12,0.280
KIFC1,0.936
NLE1,0.467
ASAP1,0.136
SDHA,0.150
PHF19,0.140
SEPTIN8,0.204
UPF3A,0.114
MYCBP2,0.948
FAM177A1,0.165
TAX1BP3,0.995
CENPE,0.535
CTDP1,0.612
PRPF38B,0.125
HNRNPM,0.418
SPAG9,0.208
VCL,0.241
DDX24,0.105
NBN,0.717
SBDS,0.133
CHEK2,0.517
NOLC1,0.329
PRIM2,0.605
RNASEH2B,0.158
CSNK2A1,0.313
TBL3,0.244
TIAL1,0.336
CEP89,0.549
CEP192,1.000
BIRC2,0.155
WDR18,0.651
STIL,1.000
STOML2,0.106
INTS7,0.564
GPATCH4,0.219
SRRT,0.251
RBM39,0.298
POP4,0.234
POLQ,0.460
POLD1,0.470
RAN,0.821
LSM7,0.155
CENPW,0.372
ENTR1,0.739
TCF3,0.193
KIF3A,0.210
IMMT,0.132
NSA2,0.152
PARPBP,0.533
SNRPF,0.156
EIF6,0.135
RMI1,0.173
CDK8,0.434
KALRN,0.223
EHMT1,0.188
CHTF18,0.480
IARS1,0.162
CEP290,0.108
RPS6KA4,0.167
ANKLE1,0.373
PPP1R8,0.347
CUTC,0.180
IK,0.273
NUP214,0.142
DDX39A,0.226
DOCK7,0.606
HTRA2,0.368
SPC24,0.525
LMNB1,0.573
RPSA,0.165
MORF4L2,0.162
TEX10,0.173
RTEL1,0.390
IPO5,0.320
EWSR1,0.132
HSPH1,0.167
TBL1XR1,0.107
APEX1,0.202
SMC2,0.748
CAND1,0.207
IDH3A,0.185
TUBE1,0.198
KIF20B,0.638
PITPNB,0.177
NUP50,0.274
BRCA1,0.272
MELK,0.427
DLG1,0.130
ATAD2,0.651
SLC7A5,0.138
CS,0.143
SRSF7,0.165
REXO4,0.141
SMARCA4,0.238
PNPLA8,0.577
BIRC5,0.922
DIMT1,0.220
CCT7,0.599
TUSC3,0.121
KNL1,0.191
STK35,0.157
NUDC,0.699
LRPPRC,0.154
