Symbol,Score
RFC2,0.227
HELLS,0.136
CHEK1,0.396
TUBGCP3,0.229
DCAF13,0.180
CENPF,0.230
MLH1,0.203
CDK1,0.908
MTHFD1L,0.109
CEP152,0.993
CEP43,0.891
RECQL4,0.141
GPALPP1,0.176
HNRNPU,0.314
CUL3,0.241
RAD54L,0.162
UHRF1,0.144
TPM1,0.933
ALMS1,0.989
BORA,0.138
TTC28,0.341
POLE,0.135
POLA1,0.131
EMG1,0.130
TUBGCP5,0.208
CTNNBL1,0.255
MSH6,0.109
CENPP,0.128
MASTL,0.784
PIBF1,0.998
SSNA1,0.159
WRAP73,0.190
HNRNPUL1,0.175
CCDC88A,0.105
ATM,0.138
UPF3B,0.448
RBBP6,0.747
GTF2H3,0.327
RFC3,0.257
TONSL,0.142
BLOC1S2,0.239
AKT1,0.127
KIFC1,0.812
FBXW5,0.581
PRDX1,0.114
CENPE,0.486
CTDP1,0.473
PRPF38B,0.126
MED4,0.101
PRIM2,0.227
RNASEH2B,0.131
CEP192,0.242
STIL,0.999
RBM39,0.420
WASHC2A,0.242
POP4,0.137
APC,0.842
TJP1,0.171
POLD1,0.250
RAN,0.473
CENPW,0.130
ENTR1,0.354
IMMT,0.106
PARPBP,0.100
FSCN1,0.798
DLG5,0.753
CHTF18,0.138
ANKLE1,0.171
ABI2,0.432
PPP1R8,0.162
PLS3,0.733
DDX39A,0.118
LMNB1,0.179
RPSA,0.115
RTEL1,0.983
APEX1,0.109
SMC2,0.435
KIF20B,0.161
BRCA1,0.140
MELK,0.108
UBR4,0.856
ATAD2,0.303
SLU7,0.178
LIG4,0.156
BIRC5,0.594
CCT7,0.190
NUDC,0.219
CSTF2,0.571
WDR36,0.131
AURKC,0.165
SKP2,0.127
RGPD1,0.600
C1orf112,0.117
SSRP1,0.107
UNC45A,0.533
SNIP1,0.149
HAUS3,0.994
PPP1R12A,0.879
ACTR1A,0.490
U2AF1,0.101
CENPS,0.184
UTP15,0.184
EFL1,0.824
DARS2,0.118
CEP78,0.123
SPAST,0.103
RPS7,0.564
RRM2,0.505
H2AZ1,0.368
GPSM2,0.321
TOPBP1,0.215
INTS2,0.146
HERC2,0.163
MCM4,0.302
TACC3,0.365
TBK1,0.954
TBCA,0.132
CTCF,0.119
CDC16,0.460
KIF23,0.851
KIF18B,0.146
BLM,0.406
CDC45,0.407
EXOSC2,0.102
CCDC66,0.118
PCM1,0.982
DHX16,0.115
PRIM1,0.727
AIMP1,0.112
MCM3,0.493
SNRPE,0.131
AURKA,0.678
BRCA2,0.275
PFDN6,0.101
DYNC2I2,0.105
ATR,0.145
DDX11,0.339
TXNDC9,0.304
RAB11A,0.107
CDC7,0.380
CCT5,0.560
MCM5,0.300
RAE1,0.920
CDCA5,0.120
NUP43,0.263
GTF2B,0.140
ORC2,0.341
CORO1C,0.874
CACYBP,0.102
LSM5,0.392
STAG2,0.116
DHFR,0.113
ACADM,0.156
RPA3,0.295
LIG1,0.164
TUBGCP2,0.198
KATNA1,0.275
CDC25B,0.293
SNRNP25,0.144
CEP70,0.104
SRSF11,0.332
PKN2,0.125
CEP76,0.709
SUPT20H,0.172
NUBP2,0.198
NUF2,0.477
CBX1,0.135
PTGES3L-AARSD1,0.805
DONSON,0.127
RCC1,0.185
OLA1,0.141
PPP4R2,0.123
ZC3HC1,0.542
KIF15,0.303
MAD1L1,0.200
RAD18,0.179
NCAPH,0.542
SSR3,0.109
FIGNL1,0.144
PPP1CB,0.760
CDC25A,0.158
PPIG,0.197
LSM8,0.293
MCM2,0.588
PRKAR2A,0.206
TTC14,0.108
USP1,0.151
MCM10,0.108
MTPN,0.635
U2SURP,0.112
RFC4,0.365
ECT2,0.501
CLASP1,0.147
CKAP2,0.359
ZNF322,0.250
RFC5,0.326
AAMP,0.341
CCNE1,0.182
SSX2IP,0.930
XPO1,0.117
TBCCD1,0.118
RANBP1,0.490
