Symbol,Score,ENSG
ROBO2,1.1665991717675682e-05,ENSG00000185008
MME,1.5393927907113793e-05,ENSG00000196549
SPTBN1,0.00013278054673963136,ENSG00000115306
CNTN5,1.8713036575052236e-06,ENSG00000149972
FAT1,2.537786983680391e-05,ENSG00000083857
PTPRT,8.569749612375719e-07,ENSG00000196090
ANK3,1.6300941407199e-05,ENSG00000151150
NCAM1,7.264066166149833e-06,ENSG00000149294
TNFAIP3,2.637095165945364e-05,ENSG00000118503
PCDH15,2.4181398156988783e-06,ENSG00000150275
CRYAB,6.725083858965218e-05,ENSG00000109846
DSCAM,1.9642783361325046e-05,ENSG00000171587
CRB1,3.4067951785205354e-06,ENSG00000134376
MEGF11,1.6121804484251206e-06,ENSG00000157890
PLCB1,2.29018580244258e-05,ENSG00000182621
CACNA1C,1.0009793387835991e-05,ENSG00000151067
ROBO1,1.0199127503893621e-05,ENSG00000169855
RERE,2.3173591131858476e-05,ENSG00000142599
MAGI1,1.6214567728639126e-05,ENSG00000151276
EEF1A1,0.0006347449916604145,ENSG00000156508
KCNN3,6.9050378736951875e-06,ENSG00000143603
EPB41L3,3.262886596574646e-05,ENSG00000082397
VDAC2,0.0004840163548811735,ENSG00000165637
MYO6,9.06608242376793e-05,ENSG00000196586
SHANK2,2.9878941961427645e-05,ENSG00000162105
UNC5C,1.0120957890868402e-05,ENSG00000182168
JADE2,1.8679195570956272e-05,ENSG00000043143
RNFT2,1.47210785712803e-05,ENSG00000135119
UTY,1.4041592285471893e-05,ENSG00000183878
FGFR2,1.0128760369146243e-05,ENSG00000066468
ANK2,1.3052156221171905e-05,ENSG00000145362
STXBP1,0.00023765010860312243,ENSG00000136854
MYO5B,8.768022462169286e-05,ENSG00000167306
AKT1,0.0001683785346206948,ENSG00000142208
SLC9A7,2.179855349714413e-05,ENSG00000065923
IGSF9,4.051649637995425e-06,ENSG00000085552
MYO5A,0.00020269498116101553,ENSG00000197535
AKT2,6.955200516622801e-05,ENSG00000105221
MYCBP2,5.126384926443955e-05,ENSG00000005810
NID2,7.910011656930687e-06,ENSG00000087303
ADAM10,0.00012876821286776437,ENSG00000137845
APP,0.00025735160996612265,ENSG00000142192
NAV1,1.5186317620168451e-05,ENSG00000134369
CHL1,9.056271096150902e-06,ENSG00000134121
INTS7,9.421152624061351e-05,ENSG00000143493
DOCK9,3.391434403869039e-05,ENSG00000088387
TRIO,9.079289184049908e-06,ENSG00000038382
SEMA6A,1.0282235398756444e-05,ENSG00000092421
ABCA2,5.2989457050147604e-05,ENSG00000107331
RAN,0.000973931658825792,ENSG00000132341
NRCAM,1.42166794166875e-05,ENSG00000091129
SYNGAP1,2.1808116632743423e-05,ENSG00000197283
DDHD1,3.643295452791242e-06,ENSG00000100523
ARHGAP44,2.9096049218984656e-05,ENSG00000006740
ROR1,1.298188919124702e-05,ENSG00000185483
SPTAN1,0.00019649838237235692,ENSG00000197694
