Symbol,Score,ENSG
ROBO2,1.4058036322173534e-05,ENSG00000185008
MME,1.5688551810381083e-05,ENSG00000196549
SPTBN1,0.0001028191821656349,ENSG00000115306
CNTN5,1.887507279919222e-06,ENSG00000149972
FAT1,2.5040086324692804e-05,ENSG00000083857
PTPRT,6.935786126231095e-07,ENSG00000196090
ANK3,1.6899656839997512e-05,ENSG00000151150
NCAM1,7.2351910217238135e-06,ENSG00000149294
TNFAIP3,1.1455007857989122e-05,ENSG00000118503
PCDH15,2.4540056809908435e-06,ENSG00000150275
CRYAB,6.27242993269419e-05,ENSG00000109846
DSCAM,2.2649140220517346e-05,ENSG00000171587
CRB1,3.081549196396596e-06,ENSG00000134376
MEGF11,1.7596259848183824e-06,ENSG00000157890
PLCB1,2.8076015220549773e-05,ENSG00000182621
CACNA1C,1.586003133894134e-05,ENSG00000151067
ROBO1,1.0221848187514145e-05,ENSG00000169855
RERE,2.3289645059796434e-05,ENSG00000142599
MAGI1,1.457967276001764e-05,ENSG00000151276
EEF1A1,0.0006153442405876459,ENSG00000156508
KCNN3,1.0053974162047944e-05,ENSG00000143603
EPB41L3,3.8488934040287824e-05,ENSG00000082397
VDAC2,0.0005109941278284118,ENSG00000165637
MYO6,8.24409731140413e-05,ENSG00000196586
SHANK2,3.0190763561818913e-05,ENSG00000162105
UNC5C,6.363700540730251e-06,ENSG00000182168
JADE2,1.6573175378485747e-05,ENSG00000043143
RNFT2,1.742409367020586e-05,ENSG00000135119
UTY,1.4930991606004096e-05,ENSG00000183878
FGFR2,1.2376658648890809e-05,ENSG00000066468
ANK2,1.688269058324452e-05,ENSG00000145362
STXBP1,0.00024572427927095213,ENSG00000136854
MYO5B,8.871272249942255e-05,ENSG00000167306
AKT1,0.00018442977070446084,ENSG00000142208
SLC9A7,2.448917202854308e-05,ENSG00000065923
IGSF9,5.6859411693733465e-06,ENSG00000085552
MYO5A,0.0004735866657778146,ENSG00000197535
AKT2,8.353995876594992e-05,ENSG00000105221
MYCBP2,5.570601473274356e-05,ENSG00000005810
NID2,7.359577561918056e-06,ENSG00000087303
ADAM10,0.00013979870917370268,ENSG00000137845
APP,0.00024302946791899686,ENSG00000142192
NAV1,1.7636659856947188e-05,ENSG00000134369
CHL1,8.979689871544984e-06,ENSG00000134121
INTS7,8.936078135870523e-05,ENSG00000143493
DOCK9,3.657731828351723e-05,ENSG00000088387
TRIO,1.33555288004107e-05,ENSG00000038382
SEMA6A,9.82584476960338e-06,ENSG00000092421
ABCA2,5.460187657541642e-05,ENSG00000107331
RAN,0.001010783551447329,ENSG00000132341
NRCAM,1.5990035776164747e-05,ENSG00000091129
SYNGAP1,2.3057271194969245e-05,ENSG00000197283
DDHD1,3.492232112489323e-06,ENSG00000100523
ARHGAP44,3.1639283117383067e-05,ENSG00000006740
ROR1,1.106945904749419e-05,ENSG00000185483
SPTAN1,0.00019796310461206933,ENSG00000197694
KALRN,3.0460752598677293e-05,ENSG00000160145
ABI2,4.414105204009922e-05,ENSG00000138443
METTL14,7.00809965217441e-05,ENSG00000145388
DOCK7,7.465402737152367e-05,ENSG00000116641
ZEB2,3.486307521679389e-05,ENSG00000169554
PPFIA3,1.0111498172473224e-05,ENSG00000177380
FAP,8.011911425322089e-06,ENSG00000078098
NDRG2,1.7910987929075718e-05,ENSG00000165795
DLG1,0.0001612287735184511,ENSG00000075711
SLC9A6,7.016307122539144e-05,ENSG00000198689
UBE2V1,0.000316100008269341,ENSG00000244687
NFASC,1.8229602986453623e-05,ENSG00000163531
MACF1,5.524194534968686e-05,ENSG00000127603
CACNA1G,1.191526960358707e-05,ENSG00000006283
ATP1A3,5.504771897977292e-05,ENSG00000105409
DNM1,9.187624841159534e-05,ENSG00000106976
PTPRN2,5.907373236657568e-06,ENSG00000155093
PIK3C2A,9.44294506864865e-05,ENSG00000011405
SCN2A,2.082551512433318e-05,ENSG00000136531
GIT1,2.5983578075651826e-05,ENSG00000108262
EPHA6,9.930628411783793e-06,ENSG00000080224
PPFIA1,6.732407134395611e-05,ENSG00000131626
CNTN2,9.829196399792004e-06,ENSG00000184144
FURIN,5.334021864658849e-05,ENSG00000140564
CACNA1H,5.685985952297782e-06,ENSG00000196557
DLC1,1.6272274571223196e-05,ENSG00000164741
DAG1,0.00011401578922298655,ENSG00000173402
PTK2,8.170480121900015e-05,ENSG00000169398
TIAM1,2.539330935418882e-05,ENSG00000156299
DPYSL2,0.00016006404147897416,ENSG00000092964
KCNB1,8.021645093514627e-06,ENSG00000158445
ATP2B1,0.0001293128135085426,ENSG00000070961
SCN1A,2.641214359379004e-05,ENSG00000144285
NLGN1,1.6515190732449197e-05,ENSG00000169760
FBLN1,6.683835800863037e-06,ENSG00000077942
PTPRD,1.845658668780994e-05,ENSG00000153707
GPM6A,3.39362264427979e-05,ENSG00000150625
CPNE5,3.935628146666706e-06,ENSG00000124772
DST,0.00011279720268825593,ENSG00000151914
CARMIL1,7.908105136221076e-05,ENSG00000079691
SCN3A,8.083808029562448e-06,ENSG00000153253
KCNH1,1.8422096316748198e-05,ENSG00000143473
EPHB1,3.158240315830178e-05,ENSG00000154928
EPB41L2,7.92542169273342e-05,ENSG00000079819
PSD2,4.701296409867759e-06,ENSG00000146005
CD59,1.0213542907920336e-05,ENSG00000085063
SGCE,8.368503655641597e-06,ENSG00000127990
BCAP31,0.0002078134574022483,ENSG00000185825
HTRA1,1.163010476122282e-05,ENSG00000166033
ARHGEF7,2.356419991035147e-05,ENSG00000102606
SLC6A1,2.7388826355295243e-05,ENSG00000157103
SLC9A3,2.625878853878045e-06,ENSG00000066230
DAB2IP,2.3756652874952957e-05,ENSG00000136848
CLSTN1,4.9134342628666366e-05,ENSG00000171603
ATP6V0A4,6.086936828718023e-05,ENSG00000105929
HNRNPL,8.180958670903703e-05,ENSG00000104824
AP3B2,4.3326348756282925e-05,ENSG00000103723
DSCAML1,7.126320057135062e-06,ENSG00000177103
LRP2,1.1069257066099885e-05,ENSG00000081479
DOCK10,8.203652952253496e-05,ENSG00000135905
ATP2B2,5.430856066787362e-05,ENSG00000157087
SNTG1,3.166572538135598e-06,ENSG00000147481
ACTN2,3.836672127890002e-05,ENSG00000077522
DLG2,3.552202835951891e-05,ENSG00000150672
MACO1,1.8680400148754095e-05,ENSG00000204178
QPCT,6.137225805428894e-05,ENSG00000115828
DLG4,6.003780232481981e-05,ENSG00000132535
HSPA8,0.0005011558316957546,ENSG00000109971
TTYH3,1.576603043636578e-05,ENSG00000136295
WNT7B,1.7718769103840037e-06,ENSG00000188064
KCNC3,4.345490095737738e-06,ENSG00000131398
DOCK8,5.522707609156077e-05,ENSG00000107099
ADAM9,4.629115477609027e-05,ENSG00000168615
ADAM33,6.679306387196046e-07,ENSG00000149451
ZSWIM8,1.2787393448000054e-05,ENSG00000214655
WNT4,3.389790324314963e-06,ENSG00000162552
SEC14L3,9.046166873477048e-06,ENSG00000100012
SCARB1,4.6480874578508093e-05,ENSG00000073060
ATP6V0A1,0.00030860571718628995,ENSG00000033627
KIRREL1,3.5663328844017167e-06,ENSG00000183853
SEC14L2,4.107336928434925e-05,ENSG00000100003
PALS2,1.5496168373200143e-05,ENSG00000105926
EPS15,0.00012807343388851475,ENSG00000085832
PKD2,4.3188255661509514e-05,ENSG00000118762
NDRG4,1.076359796924197e-05,ENSG00000103034
ROR2,1.770322379050853e-05,ENSG00000169071
TBC1D10A,7.432414083776264e-05,ENSG00000099992
SLITRK2,1.9299286598477007e-06,ENSG00000185985
CHRM3,9.414156394727313e-06,ENSG00000133019
EPHA5,1.3057671799590028e-05,ENSG00000145242
EPHB2,1.882491258692475e-05,ENSG00000133216
WNT5A,8.398849833469328e-06,ENSG00000114251
FNDC3B,2.4995944076479297e-06,ENSG00000075420
CPE,3.527126942829418e-05,ENSG00000109472
UNC5D,1.2299960859105852e-06,ENSG00000156687
ITGB1,9.292210393469722e-05,ENSG00000150093
CNTN4,4.147487299220662e-06,ENSG00000144619
SLC9A9,1.6780292967903225e-05,ENSG00000181804
EPHA4,2.459614571680618e-05,ENSG00000116106
GABBR1,1.1073191307574487e-05,ENSG00000204681
FAM107A,6.3069309502561796e-06,ENSG00000168309
LAMB1,3.064564398279495e-05,ENSG00000091136
VDAC1,0.0004394018029501144,ENSG00000213585
CTNND1,5.05411258329816e-05,ENSG00000198561
RHOQ,3.2270900223329896e-05,ENSG00000119729
ACVRL1,1.086932150103081e-05,ENSG00000139567
LIFR,2.0425367644467623e-06,ENSG00000113594
PROM1,1.676796854657773e-05,ENSG00000007062
SDC3,2.3397820029397447e-06,ENSG00000162512
ITGA6,2.197723310963957e-05,ENSG00000091409
LRIG3,3.3078819778821245e-06,ENSG00000139263
NDNF,1.3533698152709224e-07,ENSG00000173376
BNIP3L,3.336939417307516e-05,ENSG00000104765
PHB1,0.00043657773686538447,ENSG00000167085
TENM3,5.615083069041214e-06,ENSG00000218336
SEC14L4,2.9262777702866244e-06,ENSG00000133488
DPYSL3,5.3763926286347436e-05,ENSG00000113657
GABRA4,1.0236052200087817e-05,ENSG00000109158
EPN3,6.154929024809253e-05,ENSG00000049283
ITGA3,2.6741800106791958e-05,ENSG00000005884
ADCY8,7.940321073108127e-06,ENSG00000155897
UBE2V2,0.0002899220067105122,ENSG00000169139
EZR,0.0004358162318387622,ENSG00000092820
RB1CC1,5.4270175904674684e-05,ENSG00000023287
ADGRL3,1.6466378368988306e-05,ENSG00000150471
ERN2,1.7957561695638987e-05,ENSG00000134398
ZDHHC5,2.41597786763054e-06,ENSG00000156599
PTPRB,1.072909819076789e-05,ENSG00000127329
FEZ1,0.00011083742962494797,ENSG00000149557
TLE1,5.529982703116424e-05,ENSG00000196781
KIRREL3,7.805489608489016e-06,ENSG00000149571
CNTN1,1.6713513894156454e-05,ENSG00000018236
UNC13A,1.8367093822338274e-05,ENSG00000130477
PPFIA2,1.5031734532428971e-05,ENSG00000139220
TENM2,3.9982766125538184e-05,ENSG00000145934
GPR19,6.241415734064719e-07,ENSG00000183150
TENM4,1.803332766097282e-06,ENSG00000149256
ACTN4,0.0002188156388731209,ENSG00000130402
PHB2,0.0003178711483507689,ENSG00000215021
ITGB7,1.355337059572412e-05,ENSG00000139626
EPHA10,5.72541825987212e-06,ENSG00000183317
RPN2,0.00023729303728753438,ENSG00000118705
AGAP2,1.1071872692200647e-05,ENSG00000135439
ENO2,0.000241894262546779,ENSG00000111674
CUX2,1.6910641407687114e-05,ENSG00000111249
DAGLA,1.4285116837172285e-05,ENSG00000134780
ROBO3,4.431993503841083e-06,ENSG00000154134
UBE2N,0.00045551533641119,ENSG00000177889
FGFR3,6.5211616385096795e-06,ENSG00000068078
SLC7A11,8.570894582737563e-06,ENSG00000151012
ACTN1,0.0003911834662480956,ENSG00000072110
FAT2,6.898847912676574e-06,ENSG00000086570
UNC5A,3.120759223242073e-06,ENSG00000113763
