Symbol,Score,ENSG
ROBO2,9.910740077224086e-06,ENSG00000185008
MME,1.417104393984452e-05,ENSG00000196549
SPTBN1,6.474735276558144e-05,ENSG00000115306
CNTN5,1.387403930941481e-06,ENSG00000149972
FAT1,2.05415281320664e-05,ENSG00000083857
PTPRT,5.27517111004769e-07,ENSG00000196090
ANK3,1.0448032297393764e-05,ENSG00000151150
NCAM1,5.718387709150761e-06,ENSG00000149294
TNFAIP3,9.226598519816453e-06,ENSG00000118503
PCDH15,1.7786226145514082e-06,ENSG00000150275
CRYAB,5.058808593587352e-05,ENSG00000109846
DSCAM,1.6221176794091996e-05,ENSG00000171587
CRB1,2.3305041457976654e-06,ENSG00000134376
MEGF11,1.411725026371105e-06,ENSG00000157890
PLCB1,2.0887138567598732e-05,ENSG00000182621
CACNA1C,7.463191859495226e-06,ENSG00000151067
ROBO1,8.2678180761513e-06,ENSG00000169855
RERE,2.3496539978888253e-05,ENSG00000142599
MAGI1,1.3004016984191183e-05,ENSG00000151276
EEF1A1,0.000597384876044976,ENSG00000156508
KCNN3,4.815425777197551e-06,ENSG00000143603
EPB41L3,2.6200919470800127e-05,ENSG00000082397
VDAC2,0.0005209992827882649,ENSG00000165637
MYO6,6.193027713871943e-05,ENSG00000196586
SHANK2,1.8891035046765138e-05,ENSG00000162105
UNC5C,4.649849545169982e-06,ENSG00000182168
JADE2,1.818589792324677e-05,ENSG00000043143
RNFT2,1.5862073680207533e-05,ENSG00000135119
UTY,1.7908863094762762e-05,ENSG00000183878
FGFR2,7.980338978647526e-06,ENSG00000066468
ANK2,1.0783450888878973e-05,ENSG00000145362
STXBP1,0.00019848956230384993,ENSG00000136854
MYO5B,7.826513006495666e-05,ENSG00000167306
AKT1,0.0003525691309074759,ENSG00000142208
SLC9A7,2.055620157598061e-05,ENSG00000065923
IGSF9,3.6302248708945453e-06,ENSG00000085552
MYO5A,0.0001554726409668639,ENSG00000197535
AKT2,6.93028060504749e-05,ENSG00000105221
MYCBP2,0.0003050838843767255,ENSG00000005810
NID2,7.137694005843078e-06,ENSG00000087303
ADAM10,0.00011731746169183925,ENSG00000137845
APP,0.0001972426410304741,ENSG00000142192
NAV1,7.513066890027679e-06,ENSG00000134369
CHL1,7.903213104832146e-06,ENSG00000134121
INTS7,0.00027979393206103574,ENSG00000143493
DOCK9,3.381221792480032e-05,ENSG00000088387
TRIO,7.5849725290299435e-06,ENSG00000038382
SEMA6A,8.321771663378486e-06,ENSG00000092421
ABCA2,4.203893706225432e-05,ENSG00000107331
RAN,0.0009185576499789296,ENSG00000132341
NRCAM,1.1791557204272447e-05,ENSG00000091129
SYNGAP1,1.8426649156591548e-05,ENSG00000197283
DDHD1,2.863361738380974e-06,ENSG00000100523
ARHGAP44,2.568889643977432e-05,ENSG00000006740
ROR1,8.273761347292077e-06,ENSG00000185483
SPTAN1,0.0001492114048683458,ENSG00000197694
KALRN,8.389471567390681e-05,ENSG00000160145
ABI2,3.487554641617594e-05,ENSG00000138443
METTL14,8.719429459632709e-05,ENSG00000145388
DOCK7,0.00022092951511123275,ENSG00000116641
ZEB2,3.772494850252397e-05,ENSG00000169554
PPFIA3,7.78729630231534e-06,ENSG00000177380
FAP,6.8482977642904206e-06,ENSG00000078098
NDRG2,1.4876522971716357e-05,ENSG00000165795
DLG1,0.00014104562723737482,ENSG00000075711
SLC9A6,5.760169118316662e-05,ENSG00000198689
UBE2V1,0.00033324527483275196,ENSG00000244687
NFASC,1.3183147122615452e-05,ENSG00000163531
MACF1,2.9004498356276817e-05,ENSG00000127603
CACNA1G,7.023837141910217e-06,ENSG00000006283
ATP1A3,3.522225349537755e-05,ENSG00000105409
DNM1,5.666818898970392e-05,ENSG00000106976
PTPRN2,5.134100355390903e-06,ENSG00000155093
PIK3C2A,7.461605168959482e-05,ENSG00000011405
SCN2A,1.2606111110286928e-05,ENSG00000136531
GIT1,1.7673223769224228e-05,ENSG00000108262
EPHA6,7.770068634650857e-06,ENSG00000080224
PPFIA1,4.029764758722687e-05,ENSG00000131626
CNTN2,6.709205052900375e-06,ENSG00000184144
FURIN,4.570475714079879e-05,ENSG00000140564
CACNA1H,3.4995456920567223e-06,ENSG00000196557
DLC1,1.217788116871642e-05,ENSG00000164741
DAG1,8.516431679876295e-05,ENSG00000173402
PTK2,5.433128508809736e-05,ENSG00000169398
TIAM1,1.3581898833426812e-05,ENSG00000156299
DPYSL2,0.00010556688725260328,ENSG00000092964
KCNB1,5.56578188575034e-06,ENSG00000158445
ATP2B1,9.876587463236456e-05,ENSG00000070961
SCN1A,1.5245970376178175e-05,ENSG00000144285
NLGN1,1.1484164680445603e-05,ENSG00000169760
FBLN1,6.1003614731816974e-06,ENSG00000077942
PTPRD,1.3473362601229409e-05,ENSG00000153707
GPM6A,2.5490034881069765e-05,ENSG00000150625
CPNE5,2.777479299374115e-06,ENSG00000124772
DST,5.162827880562645e-05,ENSG00000151914
CARMIL1,5.707154166052251e-05,ENSG00000079691
SCN3A,3.946784773160698e-06,ENSG00000153253
KCNH1,1.1426211229887145e-05,ENSG00000143473
EPHB1,2.5313994440969705e-05,ENSG00000154928
EPB41L2,6.85932452020226e-05,ENSG00000079819
PSD2,2.7668897815841476e-06,ENSG00000146005
CD59,8.705049416072705e-06,ENSG00000085063
SGCE,6.2240979162753966e-06,ENSG00000127990
BCAP31,0.00019475846946941558,ENSG00000185825
HTRA1,1.0809261429040336e-05,ENSG00000166033
ARHGEF7,1.885664489845279e-05,ENSG00000102606
SLC6A1,1.6756110318703652e-05,ENSG00000157103
SLC9A3,2.211013598384487e-06,ENSG00000066230
DAB2IP,1.7393573903561658e-05,ENSG00000136848
CLSTN1,3.7998907865062944e-05,ENSG00000171603
ATP6V0A4,5.688924328294732e-05,ENSG00000105929
HNRNPL,0.00012283275489293353,ENSG00000104824
AP3B2,3.7448917292681765e-05,ENSG00000103723
DSCAML1,5.342202433634758e-06,ENSG00000177103
LRP2,8.551889166277879e-06,ENSG00000081479
DOCK10,7.436095831514813e-05,ENSG00000135905
ATP2B2,4.1249886501160746e-05,ENSG00000157087
SNTG1,2.0933078270594008e-06,ENSG00000147481
ACTN2,3.0554167579945843e-05,ENSG00000077522
DLG2,2.3942574173653364e-05,ENSG00000150672
MACO1,1.8587996722258473e-05,ENSG00000204178
QPCT,5.793886859117725e-05,ENSG00000115828
DLG4,3.936527277267476e-05,ENSG00000132535
HSPA8,0.0005038306706792533,ENSG00000109971
TTYH3,1.4640695838255128e-05,ENSG00000136295
WNT7B,1.47059553678089e-06,ENSG00000188064
KCNC3,2.0373108581778813e-06,ENSG00000131398
DOCK8,4.988841880947866e-05,ENSG00000107099
ADAM9,4.0397673372449854e-05,ENSG00000168615
ADAM33,6.164651491115384e-07,ENSG00000149451
ZSWIM8,1.210661795951915e-05,ENSG00000214655
WNT4,2.987195002548284e-06,ENSG00000162552
SEC14L3,8.264166134405709e-06,ENSG00000100012
SCARB1,4.039541626263856e-05,ENSG00000073060
ATP6V0A1,0.0002820434198664355,ENSG00000033627
KIRREL1,3.0085086590651655e-06,ENSG00000183853
SEC14L2,3.892007711857064e-05,ENSG00000100003
PALS2,1.4756579527672816e-05,ENSG00000105926
EPS15,0.00011451333366762946,ENSG00000085832
PKD2,2.4899051382099367e-05,ENSG00000118762
NDRG4,7.2781386307844e-06,ENSG00000103034
ROR2,1.2898294438606018e-05,ENSG00000169071
TBC1D10A,6.945543483381021e-05,ENSG00000099992
SLITRK2,1.6998645920269855e-06,ENSG00000185985
CHRM3,6.465055094769503e-06,ENSG00000133019
EPHA5,1.010298000371744e-05,ENSG00000145242
EPHB2,1.6449044810351997e-05,ENSG00000133216
WNT5A,7.313986696944654e-06,ENSG00000114251
FNDC3B,2.481313862473826e-06,ENSG00000075420
CPE,2.5268184809986256e-05,ENSG00000109472
UNC5D,9.032816440606759e-07,ENSG00000156687
ITGB1,8.316187658791106e-05,ENSG00000150093
CNTN4,3.0469321778265226e-06,ENSG00000144619
SLC9A9,1.4674304236059489e-05,ENSG00000181804
EPHA4,1.9600647316745557e-05,ENSG00000116106
GABBR1,6.1353377791681245e-06,ENSG00000204681
FAM107A,5.26105509715358e-06,ENSG00000168309
LAMB1,2.88525004948328e-05,ENSG00000091136
VDAC1,0.00047964572820449226,ENSG00000213585
CTNND1,3.9253620856000086e-05,ENSG00000198561
RHOQ,2.5807501513242002e-05,ENSG00000119729
ACVRL1,9.633164569463738e-06,ENSG00000139567
LIFR,1.5533195606352464e-06,ENSG00000113594
PROM1,1.3702055019326453e-05,ENSG00000007062
SDC3,1.8811678199936759e-06,ENSG00000162512
ITGA6,1.8442703807145136e-05,ENSG00000091409
LRIG3,2.9773462884171773e-06,ENSG00000139263
NDNF,1.029895988209264e-07,ENSG00000173376
BNIP3L,3.443993548821231e-05,ENSG00000104765
PHB1,0.0004857788863053594,ENSG00000167085
TENM3,4.508408103381199e-06,ENSG00000218336
SEC14L4,2.5295026716468555e-06,ENSG00000133488
DPYSL3,3.4958332087670906e-05,ENSG00000113657
GABRA4,6.310943032452925e-06,ENSG00000109158
EPN3,5.3906818918494596e-05,ENSG00000049283
ITGA3,2.3209988994440736e-05,ENSG00000005884
ADCY8,3.562542660856224e-06,ENSG00000155897
UBE2V2,0.000306899344696156,ENSG00000169139
EZR,0.0002611321493817073,ENSG00000092820
RB1CC1,5.032789660461374e-05,ENSG00000023287
ADGRL3,1.337147872286358e-05,ENSG00000150471
ERN2,1.71546627611955e-05,ENSG00000134398
ZDHHC5,2.0103103061800194e-06,ENSG00000156599
PTPRB,6.9243833284477186e-06,ENSG00000127329
FEZ1,3.969806325881815e-05,ENSG00000149557
TLE1,6.395168369122359e-05,ENSG00000196781
KIRREL3,4.433498385088835e-06,ENSG00000149571
CNTN1,1.2797870978278437e-05,ENSG00000018236
UNC13A,9.530028189540326e-06,ENSG00000130477
PPFIA2,1.1225597483317523e-05,ENSG00000139220
TENM2,3.140881384324306e-05,ENSG00000145934
GPR19,4.827125813536366e-07,ENSG00000183150
TENM4,1.5680706918705402e-06,ENSG00000149256
ACTN4,0.0001986654404351464,ENSG00000130402
PHB2,0.0003245312520842985,ENSG00000215021
ITGB7,1.2487916865246019e-05,ENSG00000139626
EPHA10,4.415495142310246e-06,ENSG00000183317
RPN2,0.00028898874246528435,ENSG00000118705
AGAP2,9.47224125616e-06,ENSG00000135439
ENO2,0.00023898026902265343,ENSG00000111674
CUX2,4.960556909465137e-06,ENSG00000111249
DAGLA,1.2413059271778322e-05,ENSG00000134780
ROBO3,3.481716401591533e-06,ENSG00000154134
UBE2N,0.0005795312065907923,ENSG00000177889
FGFR3,5.609108477912967e-06,ENSG00000068078
SLC7A11,7.44541065645994e-06,ENSG00000151012
ACTN1,0.0001985807967025101,ENSG00000072110
FAT2,6.015751896278631e-06,ENSG00000086570
UNC5A,2.1672381934570756e-06,ENSG00000113763
C2CD5,8.342929853819536e-05,ENSG00000111731
AMPH,1.8066358204140645e-05,ENSG00000078053
SCRIB,0.00010934196748337306,ENSG00000180900
SLC12A2,2.9645934345250023e-05,ENSG00000064651
RDH11,6.290931340793021e-05,ENSG00000072042
ITGA7,3.5173539585946655e-06,ENSG00000135424
ERC1,6.81591890184736e-05,ENSG00000082805
SEL1L,0.00013451721829039063,ENSG00000071537
ERC2,7.721665189306155e-06,ENSG00000187672
SHANK1,7.457237151789123e-06,ENSG00000161681
ITGAV,3.8497107907844045e-05,ENSG00000138448
UBFD1,2.53430269556107e-05,ENSG00000103353
CACNA1F,3.300839088106072e-06,ENSG00000102001
MYO5C,4.365288196549497e-05,ENSG00000128833
NBEAL1,1.6437291724086885e-05,ENSG00000144426
NCAM2,1.843831308237193e-06,ENSG00000154654
NPC1,8.731623809737064e-05,ENSG00000141458
DNM2,9.660843445329935e-05,ENSG00000079805
TANC2,2.5465822036872807e-05,ENSG00000170921
ITGB3,2.3870669351446797e-05,ENSG00000259207
OLFM2,1.4230099907219853e-06,ENSG00000105088
BRSK1,1.2937434956764408e-05,ENSG00000160469
ADGRL1,1.2956212406463636e-05,ENSG00000072071
ACLY,0.00024351514583376615,ENSG00000131473
DTNA,6.912500910131465e-06,ENSG00000134769
NPHS1,3.611162695189139e-06,ENSG00000161270
WNT7A,5.270616199030071e-06,ENSG00000154764
KIF21B,2.6327681579864895e-05,ENSG00000116852
ABL1,9.916888354526839e-05,ENSG00000097007
NRAS,0.00014618035664333597,ENSG00000213281
FABP3,3.5176031934206395e-05,ENSG00000121769
BGLAP,1.9743256834783632e-07,ENSG00000242252
ERN1,7.283738187475226e-05,ENSG00000178607
UQCRQ,0.00020045584830002936,ENSG00000164405
IGKV1D-12,6.190902386487978e-08,ENSG00000278857
NAPA,0.0002678896879453068,ENSG00000105402
FLRT2,4.81253956469207e-06,ENSG00000185070
EPHA1,1.0120764383946924e-05,ENSG00000146904
PTPRG,8.29765867499935e-06,ENSG00000144724
UBA1,0.0005902013283330417,ENSG00000130985
PCK1,1.688659269705867e-05,ENSG00000124253
FGF9,4.23130597404551e-07,ENSG00000102678
EPHB3,1.3709283684971073e-05,ENSG00000182580
STX1B,4.48361886623543e-05,ENSG00000099365
SSTR4,1.5043925394422697e-06,ENSG00000132671
GDF1,4.0386551395833824e-08,ENSG00000130283
SRC,7.919878849453824e-05,ENSG00000197122
GRK5,1.9221161893949982e-05,ENSG00000198873
EPHA2,1.912449820164866e-05,ENSG00000142627
EPHB4,2.1916742080702986e-05,ENSG00000196411
SDC4,2.686339491616217e-05,ENSG00000124145
GABRA3,3.827288523021961e-06,ENSG00000011677
LAMC1,5.9214497845125455e-05,ENSG00000135862
PDC,9.448455472938863e-07,ENSG00000116703
MAOA,1.2932248473474656e-05,ENSG00000189221
EPHA8,8.295043438092756e-06,ENSG00000070886
KDR,8.205898283346114e-06,ENSG00000128052
GABRR2,4.966512720763711e-07,ENSG00000111886
EPHA7,1.1318354439731536e-05,ENSG00000135333
ADAM15,3.975814108159406e-05,ENSG00000143537
ARHGEF6,5.493536199258766e-06,ENSG00000129675
DLG3,3.457857673033392e-05,ENSG00000082458
UNC5B,2.0072964727078173e-06,ENSG00000107731
NEGR1,1.1099732126275512e-06,ENSG00000172260
CSPG4,9.903623197351859e-06,ENSG00000173546
PPP1R9B,2.1120045843765027e-05,ENSG00000108819
CD101,1.3652633394789348e-06,ENSG00000134256
RBM15B,8.199523942195973e-05,ENSG00000259956
SERINC2,6.838826613890132e-05,ENSG00000168528
TENM1,1.0934534639021274e-05,ENSG00000009694
ACE2,6.198559317072364e-06,ENSG00000130234
SPTBN5,4.602157864491393e-06,ENSG00000137877
CACNA1I,4.5381161114217075e-06,ENSG00000100346
CNTN3,1.8233636976938033e-06,ENSG00000113805
RFC2,0.0005174879227986232,ENSG00000049541
TNPO2,0.00014148391496758477,ENSG00000105576
HELLS,0.0003071017714558811,ENSG00000119969
NOSIP,0.00019299410987831528,ENSG00000142546
POLR2E,0.00039200094076865486,ENSG00000099817
PSMB2,0.0004733537735937056,ENSG00000126067
SLIRP,0.00010062077676027304,ENSG00000119705
NEDD4L,0.00011798384092364666,ENSG00000049759
RPS19,0.0004285526528006184,ENSG00000105372
SDHB,0.0002883054992780109,ENSG00000117118
SHMT1,0.00033610143626168753,ENSG00000176974
PYCR2,0.00016668316903944866,ENSG00000143811
FMR1,0.0001016145357122854,ENSG00000102081
ATP5F1D,0.00032431266947913575,ENSG00000099624
TARDBP,0.00034426259100371896,ENSG00000120948
PSMD1,0.00032035794074749765,ENSG00000173692
CHEK1,0.000582739537054876,ENSG00000149554
UQCRH,9.292593306473253e-05,ENSG00000173660
UQCRC2,0.00016715399289444905,ENSG00000140740
RBM15,0.0001825608809045668,ENSG00000162775
CSTF1,0.0001548443648825293,ENSG00000101138
DCAF7,0.00013439201372881512,ENSG00000136485
RNF40,0.00023461170010725802,ENSG00000103549
EI24,0.00011350578712047561,ENSG00000149547
AK6,1.7022422802247485e-05,ENSG00000085231
ADRM1,0.00023957643337012635,ENSG00000130706
TUBGCP3,0.0004490952589837431,ENSG00000126216
DCAF13,0.0006000538429799001,ENSG00000164934
PCGF3,4.1299508320369547e-05,ENSG00000185619
PSMD13,0.00041793316644608586,ENSG00000185627
RPL17,0.00024323917119992817,ENSG00000265681
POLD2,0.00026640304382140117,ENSG00000106628
ZNG1A,0.0001446172553861334,ENSG00000172785
PTBP1,0.0005432440199488908,ENSG00000011304
GPR89B,5.008794876336531e-05,ENSG00000188092
NSRP1,6.0213210046769184e-05,ENSG00000126653
NAT10,0.000530280915602039,ENSG00000135372
RPS17,0.0004651432416961845,ENSG00000182774
VPS45,0.00016294613515493254,ENSG00000136631
CORO1B,0.0002470480941406718,ENSG00000172725
MLH1,0.00033175570993599686,ENSG00000076242
CDK1,0.0008492102830637301,ENSG00000170312
RPL18,0.00034306819927072446,ENSG00000063177
CWC25,0.0001752346613892525,ENSG00000273559
FLNA,0.0001517816824132646,ENSG00000196924
EIF5B,0.00016782715474577715,ENSG00000158417
SYMPK,0.00018024483925838724,ENSG00000125755
FDPS,0.00017326736023528676,ENSG00000160752
KHSRP,0.0002926642718370096,ENSG00000088247
MTHFD1L,0.00012406143116784946,ENSG00000120254
NOMO1,8.990064431593224e-05,ENSG00000103512
AATF,0.0003825756447062966,ENSG00000275700
ARIH1,9.88695457039797e-05,ENSG00000166233
PABPC1,0.0002706681743940936,ENSG00000070756
RECQL4,0.00018602732631864502,ENSG00000160957
GPALPP1,0.00011565075994187698,ENSG00000133114
HNRNPU,0.00039862658598119967,ENSG00000153187
DNAJB14,5.760820181842167e-05,ENSG00000164031
SPCS2,0.0002186392942851197,ENSG00000118363
USP39,0.0003215711899981845,ENSG00000168883
ZBTB8OS,7.50101093082404e-05,ENSG00000176261
CPSF1,0.00027098334669248205,ENSG00000071894
MBD3,0.0001431564183222174,ENSG00000071655
THOC1,0.00035512385011926507,ENSG00000079134
CNDP2,0.0002339625391929843,ENSG00000133313
DNAJA2,0.00026121572221063567,ENSG00000069345
NAA50,0.0001788370760942402,ENSG00000121579
JMJD4,5.55714771960261e-05,ENSG00000081692
NOMO2,9.258948737715096e-05,ENSG00000185164
TAF15,0.00020748010514075928,ENSG00000270647
NSMCE2,3.61079050732129e-05,ENSG00000156831
CUL3,0.0003761079913338791,ENSG00000036257
PGM3,0.00012542591023276156,ENSG00000013375
GPX1,4.9900374981287036e-05,ENSG00000233276
ATAD5,6.718352308123097e-05,ENSG00000176208
TPM3,5.51086656566677e-05,ENSG00000143549
CLTC,0.0005023534200252115,ENSG00000141367
HSF1,0.00017401713299919797,ENSG00000185122
MYB,8.735167746603371e-05,ENSG00000118513
RAD54L,0.0002875517703370791,ENSG00000085999
DDX50,0.00013868031237879435,ENSG00000107625
PRKACB,0.00015861346689305912,ENSG00000142875
PRKN,2.5072464589061713e-05,ENSG00000185345
MPPE1,7.905520832979205e-05,ENSG00000154889
UHRF1,0.0002033716245254797,ENSG00000276043
ABRAXAS1,1.0995816834539919e-05,ENSG00000163322
CHD1L,7.171929514109847e-05,ENSG00000131778
TYW1B,7.728463533763882e-05,ENSG00000277149
NVL,0.00022652219694940763,ENSG00000143748
PDCD6,0.00013274250391979466,ENSG00000249915
KDM6A,9.089411772391833e-05,ENSG00000147050
FKBP1A,0.0002253517845350981,ENSG00000088832
PSMB3,0.000478074726312157,ENSG00000277791
TP53,0.0001618840942022882,ENSG00000141510
NDUFS7,0.00015153220307442963,ENSG00000115286
TYW1,0.00010094191831144205,ENSG00000198874
SLC4A1AP,0.00015963961841920885,ENSG00000163798
VAC14,0.00012695248829310576,ENSG00000103043
METTL2A,0.00017506432793636874,ENSG00000087995
ELOA,0.0003644555802543121,ENSG00000011007
BAZ1A,0.000281565132137797,ENSG00000198604
SELENOT,2.305608326020874e-05,ENSG00000198843
CHD1,0.00018666970282765598,ENSG00000153922
USP36,0.00011420820689121045,ENSG00000055483
ZNG1C,0.00011127257595761618,ENSG00000196873
HM13,0.00010980930185898366,ENSG00000101294
EIF2B4,0.00013755187198508887,ENSG00000115211
SMAP2,5.369160389943935e-05,ENSG00000084070
UBR1,6.458429205853471e-05,ENSG00000159459
TRAPPC3,0.00011739705649662587,ENSG00000054116
CUL4A,0.00011952432166416015,ENSG00000139842
HDLBP,0.00021468728778737488,ENSG00000115677
POLE,0.00036789688195250657,ENSG00000177084
TAFAZZIN,7.31498085225431e-05,ENSG00000102125
UCHL3,0.00031275758722572745,ENSG00000118939
NDUFAF6,0.00011530540599191148,ENSG00000156170
MYC,8.198612548695416e-05,ENSG00000136997
RPRD1B,0.0001348083601086016,ENSG00000101413
KBTBD4,6.544574087252938e-06,ENSG00000123444
DDX3X,0.0002618478914607749,ENSG00000215301
AP2B1,0.00027333196662693266,ENSG00000006125
RPL10,0.0002473568208555286,ENSG00000147403
TTI1,0.00011753849282745538,ENSG00000101407
POLA1,0.0004431855826452935,ENSG00000101868
IVD,0.00013189992134735214,ENSG00000128928
EMG1,0.00047634339111865564,ENSG00000126749
ABCB7,0.00011436390360257634,ENSG00000131269
RNF34,5.907738118383109e-05,ENSG00000170633
GPX4,0.00010023895711759706,ENSG00000167468
BOP1,0.0005217474028125143,ENSG00000261236
HNRNPA2B1,0.0003403862718471917,ENSG00000122566
EIF2D,0.0002469914583440903,ENSG00000143486
HSPA4,0.0003806746733367236,ENSG00000170606
ZNG1F,0.00012619103259429155,ENSG00000215126
UBE2C,0.00012893558709771026,ENSG00000175063
CTNNBL1,0.0004263564224419721,ENSG00000132792
PSME3,0.00018804545238096057,ENSG00000131467
MSH6,0.0005591964664177758,ENSG00000116062
ZC3H14,0.00018030109261461206,ENSG00000100722
ILK,0.00022932293708552266,ENSG00000166333
TAF10,6.816511467873318e-05,ENSG00000166337
SCMH1,2.9871188946840584e-05,ENSG00000010803
ESF1,0.0003988340143362749,ENSG00000089048
DDX52,0.00028486695502699585,ENSG00000278053
POLR1D,0.00012139591233697056,ENSG00000186184
UBXN1,0.00010432428354947586,ENSG00000162191
NOP16,0.0003526081132118032,ENSG00000048162
CHFR,6.094917322995004e-05,ENSG00000072609
SRP19,0.0003905501942952398,ENSG00000153037
ELOF1,0.00024896807756076116,ENSG00000130165
MND1,0.0001732168724777078,ENSG00000121211
CENPP,0.00021300574637726397,ENSG00000188312
MASTL,0.0003782693491006218,ENSG00000120539
SMC6,0.00023553386231472807,ENSG00000163029
SSNA1,0.000128139152917504,ENSG00000176101
MRPL51,0.0001242994617078629,ENSG00000111639
EIF3K,0.00017872636259706396,ENSG00000178982
PSMB6,0.00047085523880585823,ENSG00000142507
WRAP73,0.00018303524938294112,ENSG00000116213
HNRNPUL1,6.800614629478454e-05,ENSG00000105323
LYPLA1,0.00019515781893440141,ENSG00000120992
SRSF3,0.0002152169353274711,ENSG00000112081
RPL13A,0.0003796275903915502,ENSG00000142541
HUWE1,0.00017422148061346207,ENSG00000086758
MIER2,1.803435090917138e-05,ENSG00000105556
ILF2,0.0002901213206597321,ENSG00000143621
SMARCA1,0.00023267817995204694,ENSG00000102038
METTL26,4.3965787735720475e-05,ENSG00000130731
PTGES3,0.0005195855072957128,ENSG00000110958
RTF2,9.061854671611818e-05,ENSG00000022277
PSME2,0.0001042770108834486,ENSG00000100911
DYRK2,5.949533239771789e-05,ENSG00000127334
FANCL,9.136981329218292e-05,ENSG00000115392
WDR83OS,4.583636140879899e-05,ENSG00000105583
HMGN3,9.339774252562118e-06,ENSG00000118418
EP400,7.534160229545213e-05,ENSG00000183495
RBM26,0.00012003705308455902,ENSG00000139746
SIRT2,0.00020582473580539013,ENSG00000068903
ATM,0.0001592388605103355,ENSG00000149311
DOT1L,3.355279964236083e-05,ENSG00000104885
CASP7,2.415245341396307e-05,ENSG00000165806
MDC1,0.00021359868236020465,ENSG00000137337
UPF3B,0.0003310175859266364,ENSG00000125351
NUP42,4.789811903902848e-05,ENSG00000136243
IDH3B,0.0001920228838988491,ENSG00000101365
E2F3,0.00010623274160549214,ENSG00000112242
PUS3,9.000736818875033e-05,ENSG00000110060
DCTN3,0.00021806558013292697,ENSG00000137100
AP2M1,0.00024529020666606187,ENSG00000161203
DHPS,0.00015714613407242698,ENSG00000095059
TAP2,2.767403922274761e-05,ENSG00000204267
PITRM1,0.00018882610883126432,ENSG00000107959
SETD1B,9.46270524769767e-05,ENSG00000139718
DDX27,0.0004670156460047182,ENSG00000124228
TPD52L2,9.489375022397489e-05,ENSG00000101150
DOCK1,6.748383411183088e-05,ENSG00000150760
GEN1,0.00034036708416669857,ENSG00000178295
PRMT2,6.84596213225636e-06,ENSG00000160310
NDUFA5,0.00023593166646122523,ENSG00000128609
LARP4B,5.883104718554597e-05,ENSG00000107929
WDR6,7.008711939938698e-05,ENSG00000178252
RAD51C,0.00015079652334431761,ENSG00000108384
RBBP6,0.00026314682734320796,ENSG00000122257
MRPL55,7.297387903088974e-05,ENSG00000162910
DDX1,0.0003417483011043493,ENSG00000079785
CDK11B,4.4700829849373614e-05,ENSG00000248333
BPTF,9.611233350662607e-05,ENSG00000171634
WTAP,0.00012698759809954549,ENSG00000146457
ZMYND11,4.024132978946163e-05,ENSG00000015171
ERCC5,0.00011742403077965056,ENSG00000134899
UGP2,0.00010148075771603118,ENSG00000169764
OTUD6B,0.00010834250105549476,ENSG00000155100
PCMT1,0.0001793330691153678,ENSG00000120265
GTF2H3,0.00019060474617551187,ENSG00000111358
CNOT2,0.00011696856597676355,ENSG00000111596
KYAT3,5.030839628761588e-05,ENSG00000137944
RFC3,0.0004844148949246456,ENSG00000133119
TONSL,0.00011534901163153219,ENSG00000160949
ALG11,6.25758184942118e-05,ENSG00000253710
CASP2,8.485512233451098e-06,ENSG00000106144
PPP1CC,0.0004259091216533128,ENSG00000186298
GPS1,0.00028051946097050104,ENSG00000169727
AP1M1,0.000287920707633889,ENSG00000072958
SELENOH,1.500340029160686e-05,ENSG00000211450
BLOC1S2,0.0001402613379243008,ENSG00000196072
ZMYM2,4.1659591349444884e-05,ENSG00000121741
RRP12,0.00045940568685763844,ENSG00000052749
INTS11,7.253653511956244e-05,ENSG00000127054
MTRF1,2.0124549338360254e-05,ENSG00000120662
CCDC47,0.00020597477241216127,ENSG00000108588
MLST8,0.00013484827910475452,ENSG00000167965
MED6,0.0001164469215739067,ENSG00000133997
KIFC1,0.0004782568036448431,ENSG00000237649
NLE1,0.0004272789599346512,ENSG00000073536
CFDP1,0.00014650129505466348,ENSG00000153774
GET1,4.338095099524752e-05,ENSG00000182093
ANAPC11,9.381269089844759e-05,ENSG00000141552
BARD1,0.00011310561450083772,ENSG00000138376
UAP1L1,0.00016134315687903775,ENSG00000197355
PSMA8,0.00014923314703949064,ENSG00000154611
UBE2D2,0.00016409298193538816,ENSG00000131508
LARS1,0.0003265214311765446,ENSG00000133706
RER1,0.00019740948175995718,ENSG00000157916
IPO8,0.00020017797629330372,ENSG00000133704
NARF,6.94437292528403e-05,ENSG00000141562
