Symbol,Score,ENSG
ROBO2,1.0886945953426701e-05,ENSG00000185008
MME,1.4114713718023664e-05,ENSG00000196549
SPTBN1,7.295174790272524e-05,ENSG00000115306
CNTN5,1.4594320037307441e-06,ENSG00000149972
FAT1,2.3287411247960757e-05,ENSG00000083857
PTPRT,5.254278721021889e-07,ENSG00000196090
ANK3,1.1788822475196813e-05,ENSG00000151150
NCAM1,6.114373470849835e-06,ENSG00000149294
TNFAIP3,9.127835040047674e-06,ENSG00000118503
PCDH15,1.9330193523653726e-06,ENSG00000150275
CRYAB,5.540575710152957e-05,ENSG00000109846
DSCAM,1.7060588012080622e-05,ENSG00000171587
CRB1,2.9828140611296262e-06,ENSG00000134376
MEGF11,1.490179720865446e-06,ENSG00000157890
PLCB1,2.190729955763056e-05,ENSG00000182621
CACNA1C,7.941124312033212e-06,ENSG00000151067
ROBO1,9.62181541631291e-06,ENSG00000169855
RERE,2.246204300181224e-05,ENSG00000142599
MAGI1,1.7002459958773974e-05,ENSG00000151276
EEF1A1,0.0006080392141182083,ENSG00000156508
KCNN3,5.125804909855296e-06,ENSG00000143603
EPB41L3,2.7824362209593715e-05,ENSG00000082397
VDAC2,0.0005155346043124568,ENSG00000165637
MYO6,6.943111592511687e-05,ENSG00000196586
SHANK2,2.4087763955433983e-05,ENSG00000162105
UNC5C,4.991924332605248e-06,ENSG00000182168
JADE2,1.734944691907216e-05,ENSG00000043143
RNFT2,1.591351618842933e-05,ENSG00000135119
UTY,1.649032300480528e-05,ENSG00000183878
FGFR2,7.670661529422376e-06,ENSG00000066468
ANK2,1.100848358423253e-05,ENSG00000145362
STXBP1,0.00020658531609828542,ENSG00000136854
MYO5B,8.273778064789717e-05,ENSG00000167306
AKT1,0.0002701099379132747,ENSG00000142208
SLC9A7,2.1027769965022588e-05,ENSG00000065923
IGSF9,3.5421013220606627e-06,ENSG00000085552
MYO5A,0.0001677538674541133,ENSG00000197535
AKT2,6.877457704242818e-05,ENSG00000105221
MYCBP2,4.317763637197685e-05,ENSG00000005810
NID2,6.878550862446312e-06,ENSG00000087303
ADAM10,0.0001230590118985987,ENSG00000137845
APP,0.0002087627280083038,ENSG00000142192
NAV1,1.1887272606505728e-05,ENSG00000134369
CHL1,7.968594999564749e-06,ENSG00000134121
INTS7,0.00011532435011602445,ENSG00000143493
DOCK9,3.4899979965163995e-05,ENSG00000088387
TRIO,8.486298222114141e-06,ENSG00000038382
SEMA6A,8.602173879329344e-06,ENSG00000092421
ABCA2,4.571725074272691e-05,ENSG00000107331
RAN,0.0010733577275785823,ENSG00000132341
NRCAM,1.2362161884044375e-05,ENSG00000091129
SYNGAP1,1.924040319093115e-05,ENSG00000197283
DDHD1,2.9387108848601654e-06,ENSG00000100523
ARHGAP44,2.860840681519632e-05,ENSG00000006740
ROR1,8.815550873491738e-06,ENSG00000185483
SPTAN1,0.000157090024217791,ENSG00000197694
KALRN,2.0843509280513394e-05,ENSG00000160145
ABI2,0.0003747375817710166,ENSG00000138443
METTL14,8.390155017910665e-05,ENSG00000145388
DOCK7,5.747514822052579e-05,ENSG00000116641
ZEB2,3.333142491299101e-05,ENSG00000169554
PPFIA3,8.030402564841145e-06,ENSG00000177380
FAP,7.673330986312769e-06,ENSG00000078098
NDRG2,1.4918618617834606e-05,ENSG00000165795
DLG1,0.00011759456196332791,ENSG00000075711
SLC9A6,5.845243069850104e-05,ENSG00000198689
UBE2V1,0.0003262553289760544,ENSG00000244687
NFASC,1.4021791976438159e-05,ENSG00000163531
MACF1,3.546952169268292e-05,ENSG00000127603
CACNA1G,7.437582524157818e-06,ENSG00000006283
ATP1A3,3.6511280904649005e-05,ENSG00000105409
DNM1,6.242971387512532e-05,ENSG00000106976
PTPRN2,3.5967260068301117e-06,ENSG00000155093
PIK3C2A,7.726890739454152e-05,ENSG00000011405
SCN2A,1.3820362730050196e-05,ENSG00000136531
GIT1,1.8552158343418385e-05,ENSG00000108262
EPHA6,8.183307756424584e-06,ENSG00000080224
PPFIA1,4.0157274904488884e-05,ENSG00000131626
CNTN2,7.122823413410217e-06,ENSG00000184144
FURIN,4.545463495112347e-05,ENSG00000140564
CACNA1H,3.687292628711302e-06,ENSG00000196557
DLC1,1.7487515758889827e-05,ENSG00000164741
DAG1,8.861927538350255e-05,ENSG00000173402
PTK2,7.341518410269284e-05,ENSG00000169398
TIAM1,1.3951932261052346e-05,ENSG00000156299
DPYSL2,0.00011486324923348933,ENSG00000092964
KCNB1,5.666832486957008e-06,ENSG00000158445
ATP2B1,0.00010274271701444482,ENSG00000070961
SCN1A,1.67245948031845e-05,ENSG00000144285
NLGN1,1.393219686444118e-05,ENSG00000169760
FBLN1,6.119503903414729e-06,ENSG00000077942
PTPRD,1.4176454181990556e-05,ENSG00000153707
GPM6A,2.68444874343468e-05,ENSG00000150625
CPNE5,3.018605556449107e-06,ENSG00000124772
DST,6.585595449609578e-05,ENSG00000151914
CARMIL1,6.874393764717196e-05,ENSG00000079691
SCN3A,4.274606673503047e-06,ENSG00000153253
KCNH1,1.2163656318822998e-05,ENSG00000143473
EPHB1,2.7095280044016792e-05,ENSG00000154928
EPB41L2,7.027454607929756e-05,ENSG00000079819
PSD2,2.947420028893138e-06,ENSG00000146005
CD59,1.0805284223562093e-05,ENSG00000085063
SGCE,7.018221997755956e-06,ENSG00000127990
BCAP31,0.00019557857925265188,ENSG00000185825
HTRA1,1.0596849994197587e-05,ENSG00000166033
ARHGEF7,1.980411460918299e-05,ENSG00000102606
SLC6A1,1.7997181137798094e-05,ENSG00000157103
SLC9A3,2.2196705585032064e-06,ENSG00000066230
DAB2IP,1.800158409253512e-05,ENSG00000136848
CLSTN1,3.959674133234871e-05,ENSG00000171603
ATP6V0A4,5.659963933846504e-05,ENSG00000105929
HNRNPL,8.195085321110757e-05,ENSG00000104824
AP3B2,3.8608459681120913e-05,ENSG00000103723
DSCAML1,5.67438444344299e-06,ENSG00000177103
LRP2,8.848245016828023e-06,ENSG00000081479
DOCK10,7.400257557600838e-05,ENSG00000135905
ATP2B2,4.730818542200833e-05,ENSG00000157087
SNTG1,2.4158246086599705e-06,ENSG00000147481
ACTN2,3.6350585397373496e-05,ENSG00000077522
DLG2,2.567239515728279e-05,ENSG00000150672
MACO1,1.8436137110214588e-05,ENSG00000204178
QPCT,5.760113507669613e-05,ENSG00000115828
DLG4,4.734304021356625e-05,ENSG00000132535
HSPA8,0.000500740894278349,ENSG00000109971
TTYH3,1.3513122872386315e-05,ENSG00000136295
WNT7B,1.5136442343763026e-06,ENSG00000188064
KCNC3,2.1855428397066056e-06,ENSG00000131398
DOCK8,5.2994451443375976e-05,ENSG00000107099
ADAM9,4.179429144269656e-05,ENSG00000168615
ADAM33,6.417311218280097e-07,ENSG00000149451
ZSWIM8,1.2517615048847609e-05,ENSG00000214655
WNT4,3.0366782474300357e-06,ENSG00000162552
SEC14L3,8.267281817561447e-06,ENSG00000100012
SCARB1,4.071183119657346e-05,ENSG00000073060
ATP6V0A1,0.00028288068716250436,ENSG00000033627
KIRREL1,4.0928145267494806e-06,ENSG00000183853
SEC14L2,3.830471685388242e-05,ENSG00000100003
PALS2,1.4114623109371107e-05,ENSG00000105926
EPS15,0.0001208401367275339,ENSG00000085832
PKD2,3.1596189811455935e-05,ENSG00000118762
NDRG4,7.2100202506751945e-06,ENSG00000103034
ROR2,1.4410359309407042e-05,ENSG00000169071
TBC1D10A,6.958023432056475e-05,ENSG00000099992
SLITRK2,1.7187454888725253e-06,ENSG00000185985
CHRM3,6.773051573601648e-06,ENSG00000133019
EPHA5,1.0469005218225838e-05,ENSG00000145242
EPHB2,1.8087580298340875e-05,ENSG00000133216
WNT5A,7.393976016964044e-06,ENSG00000114251
FNDC3B,2.97298357065967e-06,ENSG00000075420
CPE,2.5106813855783194e-05,ENSG00000109472
UNC5D,9.93227369257552e-07,ENSG00000156687
ITGB1,9.019115027795443e-05,ENSG00000150093
CNTN4,3.121175576294499e-06,ENSG00000144619
SLC9A9,1.4695543663421352e-05,ENSG00000181804
EPHA4,2.1598694116182672e-05,ENSG00000116106
GABBR1,6.698444703167036e-06,ENSG00000204681
FAM107A,5.692831882731642e-06,ENSG00000168309
LAMB1,2.9019739592703095e-05,ENSG00000091136
VDAC1,0.0004337543596866406,ENSG00000213585
CTNND1,4.344479762843334e-05,ENSG00000198561
RHOQ,2.7100030100787295e-05,ENSG00000119729
ACVRL1,9.794855274486573e-06,ENSG00000139567
LIFR,1.550818789536224e-06,ENSG00000113594
PROM1,1.4302756055629508e-05,ENSG00000007062
SDC3,1.914259861964651e-06,ENSG00000162512
ITGA6,1.866541626032297e-05,ENSG00000091409
LRIG3,2.9912700140378695e-06,ENSG00000139263
NDNF,1.0370771240537943e-07,ENSG00000173376
BNIP3L,3.2245605190367506e-05,ENSG00000104765
PHB1,0.00044592474430136197,ENSG00000167085
