Symbols,Score
A1BG,0.26
A1CF,0.421
A2M,0.419
A2ML1,0.122
A3GALT2,0.307
A4GALT,0.32
A4GNT,0.291
AAAS,0.415
AACS,0.346
AADAC,0.269
AADACL2,0.111
AADACL3,0.093
AADACL4,0.093
AADAT,0.33
AAGAB,0.413
AAK1,0.555
AAMDC,0.379
AAMP,0.454
AANAT,0.337
AAR2,0.223
AARD,0.057
AARS1,0.35
AARS2,0.369
AARSD1,0.386
AASDH,0.198
AASDHPPT,0.373
AASS,0.33
AATF,0.453
AATK,0.453
ABAT,0.293
ABCA1,0.359
ABCA10,0.311
ABCA12,0.414
ABCA13,0.329
ABCA2,0.362
ABCA3,0.36
ABCA4,0.309
ABCA5,0.344
ABCA6,0.339
ABCA7,0.372
ABCA8,0.312
ABCA9,0.311
ABCB1,0.357
ABCB10,0.331
ABCB11,0.252
ABCB4,0.41
ABCB5,0.311
ABCB6,0.408
ABCB7,0.26
ABCB8,0.396
ABCB9,0.371
ABCC1,0.274
ABCC10,0.279
ABCC11,0.282
ABCC12,0.211
ABCC2,0.347
ABCC3,0.274
ABCC4,0.312
ABCC5,0.26
ABCC6,0.362
ABCC8,0.285
ABCC9,0.334
ABCD1,0.392
ABCD2,0.395
ABCD3,0.444
ABCD4,0.328
ABCE1,0.435
ABCF1,0.48
ABCF2,0.293
ABCF3,0.31
ABCG1,0.34
ABCG2,0.398
ABCG4,0.361
ABCG5,0.315
ABCG8,0.315
ABHD1,0.266
ABHD10,0.31
ABHD11,0.306
ABHD12,0.246
ABHD12B,0.058
ABHD13,0.225
ABHD14A,0.248
ABHD14B,0.459
ABHD15,0.196
ABHD16A,0.227
ABHD16B,0.058
ABHD17A,0.358
ABHD17B,0.258
ABHD17C,0.278
ABHD18,0.059
ABHD2,0.294
ABHD3,0.233
ABHD4,0.325
ABHD5,0.357
ABHD6,0.274
ABHD8,0.112
ABI1,0.472
ABI2,0.534
ABI3,0.417
ABI3BP,0.217
ABITRAM,0.367
ABL1,0.417
ABL2,0.531
ABLIM1,0.509
ABLIM2,0.439
ABLIM3,0.48
ABO,0.356
ABR,0.314
ABRA,0.353
ABRACL,0.078
ABRAXAS1,0.465
ABRAXAS2,0.573
ABT1,0.419
ABTB1,0.488
ABTB2,0.352
ABTB3,0.217
ACAA1,0.378
ACAA2,0.355
ACACA,0.472
ACACB,0.395
ACAD10,0.306
ACAD11,0.292
ACAD8,0.283
ACAD9,0.404
ACADL,0.308
ACADM,0.382
ACADS,0.326
ACADSB,0.314
ACADVL,0.402
ACAN,0.353
ACAP1,0.284
ACAP2,0.242
ACAP3,0.198
ACAT1,0.33
ACAT2,0.439
ACBD3,0.404
ACBD4,0.15
ACBD5,0.394
ACBD6,0.354
ACBD7,0.15
ACCS,0.278
ACCSL,0.148
ACD,0.41
ACE,0.292
ACE2,0.326
ACER1,0.298
ACER2,0.269
ACER3,0.289
ACHE,0.377
ACIN1,0.493
ACKR1,0.302
ACKR2,0.406
ACKR3,0.393
ACKR4,0.346
ACLY,0.433
ACMSD,0.396
ACO1,0.392
ACO2,0.354
ACOD1,0.212
ACOT1,0.264
ACOT11,0.338
ACOT12,0.338
ACOT13,0.39
ACOT2,0.404
ACOT4,0.333
ACOT6,0.297
ACOT7,0.403
ACOT8,0.347
ACOT9,0.264
ACOX1,0.45
ACOX2,0.405
ACOX3,0.384
ACOXL,0.31
ACP1,0.409
ACP2,0.311
ACP3,0.37
ACP4,0.265
ACP5,0.269
ACP6,0.349
ACP7,0.193
ACR,0.363
ACRBP,0.31
ACRV1,0.21
ACSBG1,0.371
ACSBG2,0.389
ACSF2,0.408
ACSF3,0.325
ACSL1,0.307
ACSL3,0.414
ACSL4,0.358
ACSL5,0.385
ACSL6,0.384
ACSM1,0.309
ACSM2A,0.328
ACSM2B,0.355
ACSM3,0.319
ACSM4,0.318
ACSM5,0.329
ACSM6,0.329
ACSS1,0.391
ACSS2,0.421
ACSS3,0.312
ACTA1,0.428
ACTA2,0.392
ACTB,0.461
ACTBL2,0.476
ACTC1,0.379
ACTG1,0.486
ACTG2,0.379
ACTL6A,0.453
ACTL6B,0.391
ACTL7A,0.492
ACTL7B,0.397
ACTL8,0.495
ACTL9,0.29
ACTN1,0.42
ACTN2,0.454
ACTN3,0.362
ACTN4,0.405
ACTR10,0.416
ACTR1A,0.658
ACTR1B,0.501
ACTR2,0.416
ACTR3,0.478
ACTR3B,0.464
ACTR3C,0.429
ACTR5,0.452
ACTR6,0.491
ACTR8,0.561
ACTRT1,0.402
ACTRT2,0.29
ACTRT3,0.299
ACVR1,0.434
ACVR1B,0.526
ACVR1C,0.444
ACVR2A,0.471
ACVR2B,0.432
ACVRL1,0.372
ACY1,0.418
ACY3,0.417
ACYP1,0.12
ACYP2,0.277
ADA,0.311
ADA2,0.348
ADAD1,0.386
ADAD2,0.36
ADAL,0.315
ADAM10,0.428
ADAM11,0.3
ADAM12,0.377
ADAM15,0.343
ADAM17,0.374
ADAM18,0.245
ADAM19,0.444
ADAM2,0.302
ADAM20,0.282
ADAM21,0.282
ADAM22,0.347
ADAM23,0.346
ADAM28,0.326
ADAM29,0.203
ADAM30,0.316
ADAM32,0.147
ADAM33,0.176
ADAM7,0.228
ADAM8,0.368
ADAM9,0.311
ADAMDEC1,0.215
ADAMTS1,0.323
ADAMTS10,0.274
ADAMTS12,0.248
ADAMTS13,0.328
ADAMTS14,0.223
ADAMTS15,0.274
ADAMTS16,0.239
ADAMTS17,0.206
ADAMTS18,0.209
ADAMTS19,0.19
ADAMTS2,0.225
ADAMTS20,0.215
ADAMTS3,0.282
ADAMTS4,0.382
ADAMTS5,0.366
ADAMTS6,0.225
ADAMTS7,0.353
ADAMTS8,0.224
ADAMTS9,0.309
ADAMTSL1,0.269
ADAMTSL2,0.311
ADAMTSL3,0.385
ADAMTSL4,0.405
ADAMTSL5,0.121
ADAP1,0.429
ADAP2,0.4
ADAR,0.392
ADARB1,0.4
ADARB2,0.359
ADAT1,0.132
ADAT2,0.364
ADAT3,0.309
ADCK1,0.436
ADCK2,0.435
ADCK5,0.375
ADCY1,0.34
ADCY10,0.462
ADCY2,0.376
ADCY3,0.381
ADCY4,0.415
ADCY5,0.382
ADCY6,0.345
ADCY7,0.292
ADCY8,0.368
ADCY9,0.311
ADCYAP1,0.307
ADCYAP1R1,0.369
ADD1,0.501
ADD2,0.485
ADD3,0.494
ADGB,0.159
ADGRA1,0.215
ADGRA2,0.31
ADGRA3,0.217
ADGRB1,0.343
ADGRB2,0.427
ADGRB3,0.323
ADGRD1,0.248
ADGRD2,0.206
ADGRE1,0.237
ADGRE2,0.275
ADGRE3,0.281
ADGRE5,0.313
ADGRF1,0.268
ADGRF3,0.162
ADGRF4,0.162
ADGRF5,0.302
ADGRG1,0.271
ADGRG2,0.332
ADGRG3,0.269
ADGRG4,0.206
ADGRG5,0.206
ADGRG6,0.349
ADGRG7,0.3
ADGRL1,0.338
ADGRL2,0.278
ADGRL3,0.321
ADGRL4,0.368
ADGRV1,0.333
ADH1A,0.407
ADH1B,0.346
ADH1C,0.34
ADH4,0.306
ADH5,0.329
ADH6,0.263
