Symbol,Score
AURKA,998
EXOC2,373
DYNLL1,900
TUBA4A,900
TUBGCP6,927
HOXD3,234
TUBG2,900
TUBG1,900
TUBGCP2,900
CEP85,570
LATS1,173
CAPN7,211
CEP135,936
DCTN3,900
HAUS2,939
TUBGCP3,923
RAB27B,202
CEP76,900
AJUBA,900
OPTN,900
CLASP1,900
TUBB4A,900
YWHAE,900
CEP72,900
CEP70,920
CENPE,180
PRKAR2B,900
DIDO1,317
KIF2B,450
PLK4,993
SKP2,622
SLC22A3,203
CCNB3,198
NINL,900
CEP164,932
CENPH,312
ACAA2,373
ZFYVE28,242
SLMAP,173
TTC14,479
DEUP1,562
PLK1,906
RAB8A,900
TUBA1A,900
CEP120,459
KMT5B,302
YWHAG,900
EGLN2,690
CYLD,892
RBFOX1,202
PRKACA,900
FAM53A,472
LTBP4,216
SEC13,198
SSNA1,900
CEP57,932
YLPM1,158
CSNK1D,900
PPP2R1A,900
PPP1CA,327
PCM1,900
PSMF1,357
GABRG3,242
HSP90AA1,900
GABRA5,265
RAB27A,167
CAMK2D,240
TUBB4B,900
CDK5RAP2,935
OFD1,900
ARID1B,345
UBC,834
SYNJ2,216
AKAP9,900
DYNC1H1,900
CCDC88B,206
ANK2,307
SGO2,361
PCNT,908
CSNK1E,900
ASTN2,341
PJA2,570
KIAA0753,407
SDCCAG8,955
CEP43,900
SLC22A1,207
NEK2,900
ACAT2,186
CEP350,325
DDR2,179
ZUP1,720
PIFO,284
ACTR1A,900
CEP55,239
VAV2,155
UBR2,281
G6PC2,183
MAPRE1,900
CEP78,900
PLCH2,284
SHBG,296
BNIP3L,570
CCP110,900
CENPJ,900
LATS2,173
LAMA1,214
BORA,905
SNX9,167
UBE2E3,211
MYLK3,208
CDK1,900
DYNC1I2,900
PAFAH1B1,900
CEP250,944
RBM12B,570
CEP152,956
ANKRD28,173
NEURL4,158
SFI1,900
ZBTB10,570
CEP131,900
CCDC14,504
TENT4B,157
RASGRF1,212
DCTN2,900
IFNA17,216
FNDC3A,195
CLASP2,254
ANKHD1-EIF4EBP3,216
CKAP5,900
CEP290,925
NEDD1,994
TUBGCP4,900
