Symbol,Score
RALA,214
CX3CL1,156
TNFRSF17,165
STYK1,470
MBD3,566
EPHA8,151
TRO,304
CDK13,284
DELE1,212
SLC22A4,390
REM1,381
ESR1,156
CDC6,331
VCL,159
TAB1,309
PHF5A,203
AURKA,942
TPD52L2,207
TUBB1,513
STS,207
TIMP1,165
SGCG,508
ACSM2A,212
ORC6,225
RASL12,211
EXTL3,211
CLASRP,196
CD79A,158
HAS1,471
SLC5A5,414
PON1,212
MEST,509
VIM,211
SULT1E1,158
NFKB1,158
CTSC,191
CCND1,150
SELPLG,250
CDKN1B,224
MGP,503
NUP107,512
GAPDH,288
APOBEC1,242
FBXO5,289
MAPK14,163
GMNN,353
FIG4,171
SKP1,242
ECT2,283
MAPRE3,165
TFPI,179
PROC,266
SLC1A4,396
ENO1,242
MAD2L2,214
TTR,215
NAA50,345
DYNLL1,904
GPR83,566
PLCG1,192
MEA1,150
CDKN1A,207
EMC3,159
BBS2,270
BMP4,159
NUP85,860
NT5C,202
CDC25B,253
MKKS,229
STATH,185
DLGAP5,191
TUBA4A,973
VIL1,214
TUBGCP6,921
KNSTRN,282
CLN6,178
INS,359
TUBG2,961
TUBG1,994
RRM2B,235
POLDIP3,159
NALF2,329
APOE,154
ALLC,150
NCAN,256
LSM7,169
TUBGCP2,973
F12,216
PDLIM4,208
FUS,216
USP29,173
SERINC3,201
RTTN,183
LYVE1,242
IER3IP1,330
CCNB1,412
LAMTOR5,491
KIDINS220,222
CEP135,968
DZIP1,375
OCM2,151
NT5E,212
AVIL,158
ESPL1,471
NPL,357
USP37,195
IL6,198
SRSF1,167
SKIL,301
BAAT,242
DCTN3,900
TUBB2B,711
KIF23,187
HAUS2,903
BCL2L10,192
KIF11,351
LYZ,151
LIPG,194
LMNB1,159
NUP133,167
AP5M1,158
NDC80,235
BFAR,303
SLC6A4,325
TUBGCP3,973
SGCA,150
MMD,158
CEP76,909
TRIM37,206
PKD1,167
GLIS2,230
INVS,239
OGN,284
ZBTB32,416
CCNE1,150
AJUBA,901
TIMP2,359
ELL,359
OPTN,900
CILK1,266
EP300,204
MREG,211
EED,358
SIAE,235
CLASP1,909
TYRO3,242
SLC5A7,241
TUBB4A,968
LCT,181
ORC4,249
ALS2,242
YWHAE,902
IFT57,151
UBE2S,234
POMC,185
TP63,351
CEP72,915
CEP70,910
GOLPH3,157
FBXW11,293
TNC,159
AMBP,457
CENPE,298
EGF,179
PECR,194
ST7,182
AHI1,244
KAT6A,191
PRKAR2B,900
CCAR1,167
PIK3C2A,181
LUM,205
CDK2,333
RB1,205
DUOXA1,171
MAN2C1,288
BBS4,363
FURIN,198
NEK8,185
TOB1,170
GAREM1,171
TP53,392
ERBB2,167
PNMT,194
PFKL,440
SH3GL1,700
AKT1,267
SLC6A3,720
PLK4,967
GPR161,167
LBR,358
REN,185
CALM2,870
MALL,158
SUMF1,164
DYNC1LI1,927
FTH1,508
EAF2,167
SKP2,195
CDCA5,802
CDK16,153
ADM,179
ATM,205
MTA2,577
ROM1,345
NINL,917
CEP164,922
PIGT,158
MRPL49,361
NOCT,167
DIP2C,182
FER,211
PTPRO,301
ATP5F1A,418
FLT1,181
MBNL1,416
CETN3,175
FEZF2,264
CD8A,165
VILL,167
CFDP1,163
TMPRSS11D,215
GRAP,217
IMPACT,472
APP,155
CA2,150
ODF1,359
CNOT8,163
PXYLP1,599
STOM,323
SASS6,781
BUB1B,501
SST,191
EXOG,234
RNF111,358
ERC2,753
APPL1,242
TAB3,151
FANCC,217
CNOT11,280
PRAC1,215
ACE,198
CSTB,359
GATD3,242
SPATC1L,158
MCM3AP,202
S100B,150
AZGP1,263
CPSF4,198
LY6E,195
CYGB,384
REL,187
TRIM17,156
FRZB,167
ZSWIM2,150
EN1,193
SPICE1,258
ALB,422
TCF23,472
POC1A,357
ITGA2,459
SPINK1,347
NPM1,198
LMTK2,206
DCSTAMP,282
COL14A1,242
MELK,191
WDFY2,329
RXFP2,201
TBATA,154
GNPTAB,213
ANAPC16,238
ILK,329
POTED,171
PLIN1,264
PLK1,989
COL6A2,150
RAB8A,926
CDT1,187
TUBA1A,968
TUBA1C,739
DIP2B,181
BIRC5,227
DDB1,296
BUB1,303
BCL2L1,158
MAEA,192
PTGER4,158
AURKC,202
CEP120,565
BCR,323
CLIP1,191
CDC25A,256
ABR,150
HINT1,210
ANKRD27,252
SLC26A5,167
TUB,167
FUT3,192
YWHAG,906
AVEN,502
ETV5,301
SDC2,181
EGLN2,214
MAP6,167
PATE1,156
EIF2AK3,158
SHE,197
SCN11A,325
SLC22A18,158
CDC20,728
F2,252
CYLD,159
TERT,359
PRKACA,900
CCDC13,211
HRAS,196
ANAPC10,207
PTMS,214
FOSL1,165
DSEL,212
NDST2,300
TEAD2,159
ABRA,200
IQCB1,207
ZNF699,408
PAAF1,200
DAG1,562
TCAP,202
DMAP1,159
RAB8B,359
IFT80,161
NPHP1,398
FUZ,213
SSNA1,910
PER1,282
CDC42,165
UACA,159
EDNRA,151
CLU,240
ASPRV1,181
BAIAP2,359
SUZ12,321
CEP295,216
PIBF1,158
GLS,201
BBS1,290
COX5A,150
TNIP1,396
CEP57,900
TUBA3E,408
TUBB6,607
PNMA1,159
GEN1,212
CETN1,609
DMRTA1,171
NDRG1,198
DYNC1I1,202
TUBB3,607
EHD1,205
ADIPOQ,202
TUBD1,618
CDC25C,296
TACC1,348
PDLIM5,347
RIT2,357
SERPINF2,150
CIRBP,388
RBBP8,284
DAND5,268
SPAG5,194
PNKP,176
IFT88,349
APOLD1,206
RNF213,271
CSNK1D,900
FLII,160
PPP2R1A,900
NCAPD2,169
FBN1,206
PCSK7,216
TUBA3D,685
TACC3,337
CUL1,206
PCM1,976
NOG,586
RIOX2,181
DNMT3B,215
TSPO,499
SIVA1,156
SIRT7,313
BCL2,213
MRGPRG,242
OPCML,216
OLIG2,580
TCF12,361
STING1,167
SELE,177
DZIP1L,173
ATP6V0A2,214
SULT4A1,412
NR4A3,323
TUBA8,418
DNAH8,165
ALG12,399
SELENOV,562
NDEL1,302
INTU,408
TCFL5,307
KCNK18,150
PTPRU,191
CCIN,177
HSP90AA1,910
KNL1,197
DDX3Y,357
ANG,158
OPRL1,216
ATF4,191
TUBA1B,739
CENPA,163
CXCL14,185
KCNE1,455
AKAP1,250
RTN4,173
RERE,210
NPHP3,261
TUBB,714
ANAPC1,563
NISCH,242
THEG,155
LITAF,301
PTK2,151
RBPJL,157
TUBB4B,968
P4HTM,156
ETV7,476
GOLGB1,225
FOXM1,150
CEP97,283
IL4I1,209
MCPH1,236
HELT,507
SULT1A3,191
ATR,398
TTN,170
CDK5RAP2,995
OFD1,912
UBC,805
PTTG1,416
DNER,205
EPB41,351
SEMA6A,216
RAB5C,166
KCNJ11,517
LYAR,249
SCN8A,151
PES1,398
LARGE1,414
ITSN2,174
KEL,282
APCDD1,242
PRMT2,158
RET,169
TNFRSF14,242
SLC17A5,284
SIRPA,150
CENPL,453
FRMD6,150
CDC16,395
AKAP9,987
UBE2C,631
DYNC1H1,900
SON,202
NRG1,323
GOLGA4,158
CALM1,615
CHD4,591
ANAPC11,159
NEGR1,181
SYNE2,221
ST7L,171
CTSE,252
TES,284
SRC,191
NF1,270
PTPN5,202
FUT4,242
MICAL1,356
MANEA,212
PRDM10,408
REV3L,150
NUP214,349
DNMT1,359
INPP5D,212
RYR1,216
ELF3,215
CSNK1E,900
PTPRF,296
TFRC,181
MAP4,196
NR4A1,191
CES1,159
RRBP1,416
SOX10,181
MICU1,150
OSTC,181
OPA1,158
AKAP13,197
SMC3,159
DCTN1,354
MT-ND5,235
TOX,159
FAM163A,217
CDC14A,234
MT-ND4,261
ABCG1,206
MT-ND2,268
MSRB1,181
MT-ND3,198
SDCCAG8,900
CEP170,332
WDR64,254
OPN3,242
DISC1,967
ERMARD,159
GPR31,329
CEP43,919
FBXO28,598
CAPN8,165
PRKN,345
EPRS1,167
CENPF,234
NEK2,942
IRF6,159
SYNE1,167
PCMT1,230
ASPM,214
CFH,242
UST,400
TPR,218
RNF2,282
EPM2A,214
CEP350,300
ADCY10,150
INSRR,181
RIT1,167
ROS1,254
MKI67,165
TUBE1,600
SPRR2G,159
BUB3,280
PSMD4,593
VPS72,159
C1ORF56,345
MCL1,186
PNLIP,179
PDE4DIP,313
PLXNA3,265
OVGP1,396
PIFO,329
ACTR1A,900
OPN1LW,302
BTRC,329
CETN2,748
DDX43,198
NTSR1,349
USP26,173
PKHD1,241
JUN,241
CDC5L,213
CEP55,653
KTI12,197
STIL,290
KIF2C,202
MPL,242
YBX1,587
SET,156
OXCT2,159
MAP7D1,391
ENG,303
CDK9,240
TRAF3IP1,239
UBE2D1,179
UBXN11,167
KIF4A,150
ELP1,264
PARD3,342
ECE1,286
APEX2,151
H2AX,177
CROCC,336
MAPRE1,900
IARS1,167
KIF3B,187
SPEN,231
TNFSF13B,235
KAZN,159
CEP78,900
GPR180,167
CTNNBIP1,213
SPATC1,682
TNFRSF9,240
SLC22A12,187
SCGN,216
MYC,207
CKAP2,610
NPHP4,330
EXT1,179
AARD,585
DCDC2,158
SLC35B4,347
CCL7,347
KIF3A,216
PCNA,242
PHEX,216
KIN,288
ARIH1,408
TEK,325
RBBP7,566
ECI2,214
BRCA2,225
IFNB1,390
CNTROB,610
EMILIN1,239
TUBB2A,728
CHD3,571
TUBAL3,407
HAUS6,405
GTF3A,414
TECRL,159
ZBED1,307
CDC20B,179
CCP110,982
CENPJ,978
NIN,681
TNFRSF19,155
FGF9,361
SLC35G5,252
CHEK2,211
CSPG5,159
COLQ,261
ABCC8,265
BORA,905
TMEM121,206
CYREN,408
BCL2L11,195
NUMA1,400
ARL13B,240
PROS1,264
METTL7B,165
LARS1,150
INCENP,239
CDC23,321
TKFC,186
FZR1,694
CDK1,940
GLI3,150
ZNF143,151
MOCS2,241
DYNC1I2,921
PAFAH1B1,912
ERMN,169
CEP250,921
EPHB1,207
NSF,158
NOTO,159
ERG,502
CEP152,939
SEH1L,313
TUBA3C,407
SFI1,900
HMX1,191
PAXIP1,165
RELA,214
XPO1,187
KIF2A,171
OBSL1,407
HADH,563
CHEK1,263
TMBIM6,191
TMEM67,234
CDHR4,159
DIP2A,517
CHFR,150
TRAPPC2,191
FGFR1,216
CEP131,915
ZNF655,211
KIFC1,154
OPRM1,169
MAN2B1,329
JAM3,163
NSD1,234
DHFR,156
NTM,372
PERP,181
BEST1,216
PTPRJ,216
SNRPE,357
ERN1,150
WEE1,226
RUNX1T1,167
TMED7,306
KAT8,150
IMPA1,169
DCTN2,938
CDKN1C,284
GLRA1,325
IFNA17,158
BDNF,198
KLC1,167
GTSE1,160
ZBTB8OS,242
BRCA1,241
UTP25,213
ZBTB20,213
SHOX2,163
AZI2,167
CLASP2,193
NR6A1,165
UHMK1,234
PHC3,191
ALYREF,309
ZFP62,349
CEP192,908
ANGPT1,179
CLINT1,185
AMPD1,343
CKAP5,929
MANF,264
CDC27,619
OMP,479
GRAPL,242
TMEM216,237
PHB2,380
ASIC5,198
TRAPPC2B,181
STH,242
PCSK5,192
FICD,159
MGAM,181
CEP290,940
APAF1,258
HOPX,416
ERH,281
NEDD1,949
NUSAP1,802
OBSCN,387
TUBGCP4,915
WWOX,280
SMIM1,265
RAB40B,740
VEZF1,293
AURKB,504
TNFRSF11A,306
UQCR11,160
TNNT1,216
TNFSF14,241
