Symbol,Score
ARF5,237
RALA,253
LRRC23,411
DYRK4,372
PPP5C,201
RTN4R,191
DCN,201
STYK1,226
APPBP2,222
KIF22,374
FOXJ2,255
TRIP13,181
TNS1,331
TRO,407
CDK13,228
DELE1,291
SLC22A4,420
REM1,375
CDC6,322
MAPK13,150
CDC34,254
MAPK12,156
MAPK1,150
DMC1,210
RASL10A,237
MCM5,271
RASD2,237
TAB1,232
MYH9,237
RBX1,178
CHADL,191
SOS2,349
VRK1,232
AURKA,940
MYBL2,257
TUBB1,365
SLC25A43,199
MXRA5,191
STS,158
TLR8,191
STAG2,481
ORC6,179
RASL12,377
RHOV,237
PPP2CB,305
TBC1D17,244
SGTA,222
CDC37,250
NRF1,800
MEST,508
VIM,205
TBC1D12,244
TAX1BP3,185
RPS6KB1,193
RASD1,247
DUSP3,266
MYH1,237
FOXN1,255
HSPA8,191
CCND1,239
RAD51AP1,239
DUSP16,266
CDKN1B,150
OAS3,224
RERGL,237
GAPDH,169
FBXO5,161
MAPK14,155
STK38,450
MCM3,234
GMNN,229
SKP1,712
ECT2,709
PPP1R7,411
SLC1A4,382
ORC2,286
CDC7,712
CCNI,604
RHOQ,237
HELLS,158
DUSP1,289
DUSP4,331
PPP3CC,274
NCAPH,349
RASL11A,237
DYNLL1,900
ATP7B,181
RIF1,223
GPR83,561
CDKN1A,159
RAP2A,278
MYH2,237
CDC25B,813
LRFN3,191
RRAS,247
FLRT1,191
TRAP1,173
DLGAP5,248
HSPA2,220
OMG,234
KIF17,181
TUBA4A,939
VIL1,159
STYXL1,266
LRFN1,191
RASL11B,237
TUBGCP6,953
SGSM3,244
RAC2,240
DNAJB9,200
LRRC4,191
KNSTRN,330
ISLR,203
USP6,244
DNAAF11,411
CMA1,159
FOXA1,188
NEDD8,224
RAP1B,258
TUBG2,928
TUBG1,981
NCAPG,301
RABGAP1L,244
SPAG1,222
RRM2B,156
MYH13,237
TUBGCP2,946
LATS1,463
GINS2,205
RLIM,199
HAUS8,159
SNRPA1,191
NASP,173
PDE6A,196
MYH4,237
DCLK1,461
CCNA1,922
KRAS,269
RRAS2,237
DUSP26,266
IER3IP1,307
CCNB1,721
CD180,191
NOTCH2,212
ARF3,237
RERG,239
CEP135,987
OASL,224
CDK4,465
ESPL1,838
CHAD,191
LRRC8A,191
DCTN3,900
KLC4,222
KIF13A,181
TUBB2B,677
TLR2,191
LRRC32,191
KIF23,686
HAUS2,900
LRRC49,411
PAK6,312
KIF11,701
KIF20B,560
BARD1,154
CDK15,439
EPYC,191
CDK17,448
CCND2,192
FOXN3,265
REXO5,171
MIB1,150
NDC80,388
ARL1,237
TTC19,222
KPNA3,216
SLC6A4,181
MYO5C,240
MAPK6,151
RAB11A,237
CNOT6,201
TUBGCP3,945
SPAG9,156
MCM4,324
CEP76,951
RHEB,272
PRR11,159
PKMYT1,625
FOXF1,255
MAP2K4,313
GINS1,215
OGN,430
ZBTB32,488
CCNE1,243
RAB2A,332
CDKN2C,157
AJUBA,900
PHLPP1,359
RPS6KA6,207
MYH7B,237
MARK4,297
MAPK3,150
OPTN,900
MAP3K8,165
KIF18A,232
UBE2R2,254
EP300,297
LIG1,204
NOTCH3,227
CLASP1,901
SGO1,204
AKT3,193
RND3,237
KDR,341
KIF1B,181
TUBB4A,966
DGUOK,350
MCM6,246
YWHAE,900
RASGEF1B,349
CUL3,163
UBE2S,194
HDAC4,230
NSUN2,302
DNAJC27,266
KIF3C,181
TP63,281
SEPTIN11,337
CEP72,908
CEP70,922
DEPDC1B,152
MCM2,204
FBXW11,904
AMBP,240
CENPE,501
MED20,206
SRF,383
POLA2,170
KIF9,181
OPRK1,242
PRKAR2B,900
DBF4,637
CDK6,449
CDK14,447
ANLN,333
SMARCA2,162
SLIT1,191
TAPBPL,514
LGR5,191
TMTC3,222
LUM,191
KERA,191
CDK2,447
RHOF,237
REM2,237
FANCM,269
BBS4,263
SEPTIN12,277
ZCCHC14,201
KIF2B,181
SGSM2,244
LRRC46,411
SSH2,266
MYH10,237
TP53,856
ERBB2,344
PNMT,246
ARL5C,237
FEM1A,197
LRRC56,411
SIK1,333
AKT1,236
STYXL2,266
NUF2,227
MEF2D,736
SETDB1,301
ARF1,237
RHOB,268
RPS27A,723
RALB,237
LRIG1,191
LRTM1,191
MYH15,237
CFAP91,150
ATP10D,174
CCNA2,941
SKP2,234
PLK2,319
FEM1C,186
LRRTM2,191
RBAK,203
CDCA5,191
CCNB3,601
CDK16,449
NONO,151
MFHAS1,191
GINS4,166
CDKN2B,157
USP6NL,244
LRRC4C,191
PAK1,303
ATM,204
ROM1,191
NINL,900
CEP164,921
LSM14B,274
PPP4C,201
DUSP6,273
PDCD4,210
SLC25A31,257
CENPU,325
ARL11,237
ATP5F1A,416
SPC25,204
PPM1B,203
CCNO,601
STK32B,202
CETN3,222
ATP8B4,174
XPC,223
MYO5B,237
RHOC,252
LRGUK,411
PDE11A,196
SMC2,373
DCK,429
PPEF2,201
KIF6,181
SASS6,895
BUB1B,406
CCNB2,721
TAB3,150
DUSP2,271
PTPDC1,845
MRAS,237
MIS18A,181
KPNB1,303
SIM2,192
STARD9,181
PDE9A,196
PDXK,199
GATD3,206
LRRC3,191
HIPK4,372
ZER1,307
FGFR4,338
LRWD1,191
CCDC78,240
NXF1,246
LRRC53,191
LRRC52,191
LRRTM1,191
ARL5A,237
ZSWIM2,462
LRRC58,191
ALB,213
HESX1,166
SLMAP,459
PPP1CB,211
LRRC2,191
SENP2,549
RFC4,191
H2AZ1,233
HSPA4L,279
POC1A,203
MAD2L1,695
ITGA2,282
TLR3,191
FOXQ1,255
NPM1,159
SUN3,212
RAD21,645
ORC5,232
GEM,237
KIF27,258
MELK,170
DEUP1,192
LRFN5,191
WRN,261
LRR1,249
RXFP2,216
STK32C,194
LRRK2,479
FOXN4,295
LRTM2,191
ILK,199
ATMIN,223
CPLX4,456
RRAD,237
HSP90B1,230
PLK1,933
TPX2,179
LRSAM1,191
TBC1D21,244
TBC1D2B,556
RRM1,307
RAB8A,928
CDT1,206
RHEBL1,237
TUBA1A,939
TUBA1C,416
KIFC2,311
BIRC5,293
ASRGL1,187
PBK,244
BUB1,770
LRG1,191
RALGAPA1,159
FOXD4L1,255
AURKC,401
HSPA4,209
CEP120,360
RXFP1,191
PDS5A,373
CDC25A,812
DCLK2,585
GP9,191
FOXA3,188
HIPK3,372
RAC3,253
FOXI1,255
ANKRD27,268
UBB,224
LRRC28,191
CKAP2L,159
SIK2,297
ARF4,237
YWHAG,900
SHCBP1,278
LRRC8E,191
AVEN,532
VASN,191
ESCO2,203
KIF5B,181
MAP6,193
BPTF,160
RPTOR,300
MCM7,311
FEM1B,173
SCN11A,150
MUS81,317
PODN,200
H2AZ2,247
RPS6KB2,193
CDC20,779
RND1,285
ARL10,237
RHOD,237
TLR10,191
PLG,860
CCNE2,262
PDP2,166
PRKACA,900
MAP3K11,350
LRCH4,191
MIS18BP1,165
TBC1D16,244
FOXP4,188
HRAS,281
RACGAP1,411
FOSL1,167
MOB1B,257
HSPA6,168
ERCC4,186
DSEL,329
BRSK1,470
PDE7B,196
BRSK2,463
TEAD2,321
MAPK7,151
CKS1B,322
ZWILCH,225
ARR3,576
EXO1,190
LRRN3,191
SSH3,266
TNS3,323
DAG1,362
LRFN4,191
RAB8B,406
DYRK1B,372
CLSPN,188
FBXW5,935
PRKDC,151
ATP10B,174
SSNA1,900
PDS5B,373
ANAPC2,225
PAK2,300
BOK,198
CDC42,269
MCM9,161
FOXR1,255
KLC2,222
LRRN1,191
TYMS,161
