Symbol,Score,ENSP
ARF5,0.0001320029067868066,9606.ENSP00000000233
CFTR,0.00015764759730864107,9606.ENSP00000003084
CYP51A1,3.858827355995803e-05,9606.ENSP00000003100
RALA,0.00019972402564223253,9606.ENSP00000005257
DVL2,0.00011429268320020361,9606.ENSP00000005340
OSBPL7,1.992652340104154e-05,9606.ENSP00000007414
LRRC23,5.404275442751261e-05,9606.ENSP00000007969
DYRK4,0.00010629410794425593,9606.ENSP00000010132
PPP5C,0.0001417804258371711,9606.ENSP00000012443
NME1,0.00012966565506719943,9606.ENSP00000013034
MAP4K5,6.486525894539266e-05,9606.ENSP00000013125
RALBP1,5.302292219228413e-05,9606.ENSP00000019317
PSD,2.6514595007503175e-05,9606.ENSP00000020673
RTN4R,7.852945011020331e-05,9606.ENSP00000043402
DCN,0.00013422761815922035,9606.ENSP00000052754
VAMP3,6.758500999762087e-05,9606.ENSP00000054666
ARHGEF5,2.849198345362481e-05,9606.ENSP00000056217
PKP2,4.0974153669092775e-05,9606.ENSP00000070846
STYK1,0.00010129314857365935,9606.ENSP00000075503
GNA11,0.00014638705205016487,9606.ENSP00000078429
TRIB2,0.00010692399660729703,9606.ENSP00000155926
ACAP1,3.4914446915618436e-05,9606.ENSP00000158762
ACTL6B,0.00017131658160138055,9606.ENSP00000160382
KIF22,0.00012524321259869297,9606.ENSP00000160827
GOLGA5,2.717841359696689e-05,9606.ENSP00000163416
PPP2R5B,4.914215347362646e-05,9606.ENSP00000164133
EPHA8,9.871752695744721e-05,9606.ENSP00000166244
TNS1,0.0001639661844471881,9606.ENSP00000171887
MAP2K5,0.00013365897679173204,9606.ENSP00000178640
CDK13,7.268280003463865e-05,9606.ENSP00000181839
DIMT1,9.084536322020641e-05,9606.ENSP00000199320
NME8,0.00010050694571524185,9606.ENSP00000199447
MAPK13,0.00023735570696680578,9606.ENSP00000211287
VCL,0.00012021974567609465,9606.ENSP00000211998
PSMD8,8.792753409053855e-05,9606.ENSP00000215071
STX1B,6.528344645240024e-05,9606.ENSP00000215095
MAPK12,0.00024303062600573733,9606.ENSP00000215659
SEC14L3,2.410086027696593e-05,9606.ENSP00000215812
MAPK1,0.00037152308855345354,9606.ENSP00000215832
CABP7,8.720376139546663e-05,9606.ENSP00000216144
TAB1,9.8661670431113e-05,9606.ENSP00000216160
MYH9,0.00016656924370273663,9606.ENSP00000216181
TXN2,7.370608693514118e-05,9606.ENSP00000216185
PVALB,0.00013033115609650115,9606.ENSP00000216200
CHADL,5.036313367215025e-05,9606.ENSP00000216241
RIPK3,8.63968094727091e-05,9606.ENSP00000216274
AP4S1,2.5017988976245998e-05,9606.ENSP00000216366
SOS2,9.787026741832267e-05,9606.ENSP00000216373
CNIH1,2.0418143448441097e-05,9606.ENSP00000216416
EIF5,5.461579947279316e-05,9606.ENSP00000216554
SRP54,8.203180053168348e-05,9606.ENSP00000216774
PABPC1L,6.96763792909436e-05,9606.ENSP00000217073
TUBB1,0.00018524785886297768,9606.ENSP00000217133
EEF1A2,0.0001283700371792776,9606.ENSP00000217182
PTK6,9.480092158728911e-05,9606.ENSP00000217185
SRMS,8.441997035570014e-05,9606.ENSP00000217188
TRIB3,0.00012076437839577093,9606.ENSP00000217233
MYL12A,7.485978291414658e-05,9606.ENSP00000217652
MXRA5,6.020571316059483e-05,9606.ENSP00000217939
GUCY2F,8.565670936753457e-05,9606.ENSP00000218006
TLR8,6.298907761771637e-05,9606.ENSP00000218032
RAB40AL,7.603073191338106e-05,9606.ENSP00000218249
ATP12A,0.00010091139198011937,9606.ENSP00000218548
NTHL1,4.413205029394276e-05,9606.ENSP00000219066
CORO1A,7.783099021784033e-05,9606.ENSP00000219150
PARD6A,8.054425395362013e-05,9606.ENSP00000219255
NME3,7.269930624705269e-05,9606.ENSP00000219302
PDIA2,8.85834664301774e-05,9606.ENSP00000219406
ARHGDIG,5.220620737194125e-05,9606.ENSP00000219409
NME4,6.783629074936425e-05,9606.ENSP00000219479
CSK,0.00012869405165566214,9606.ENSP00000220003
RASL12,0.00017698683563541597,9606.ENSP00000220062
RHOV,0.00016327063492120478,9606.ENSP00000220507
RIPK2,0.00010647780280029746,9606.ENSP00000220751
NCALD,6.300878696504733e-05,9606.ENSP00000220931
PPP2CB,0.00019792464110947734,9606.ENSP00000221138
TBC1D17,4.7068456050435104e-05,9606.ENSP00000221543
RABAC1,3.1171530548991875e-05,9606.ENSP00000222008
RASIP1,7.989094802993499e-05,9606.ENSP00000222145
GAPDHS,0.0001068558966603366,9606.ENSP00000222286
USF2,3.439193586279632e-05,9606.ENSP00000222305
GSK3A,0.00019336961040752415,9606.ENSP00000222330
HGF,4.5265971459957495e-05,9606.ENSP00000222390
UBE2D4,7.19723937245505e-05,9606.ENSP00000222402
BET1,4.631401609245349e-05,9606.ENSP00000222547
CHN2,4.4004603644184464e-05,9606.ENSP00000222792
STX1A,9.024531850310512e-05,9606.ENSP00000222812
WASL,9.3197820487407e-05,9606.ENSP00000223023
C1GALT1,3.922587580584789e-05,9606.ENSP00000223122
MYL10,5.634212831777647e-05,9606.ENSP00000223167
MYL7,5.93838402026622e-05,9606.ENSP00000223364
YKT6,5.132353235029607e-05,9606.ENSP00000223369
ACTA2,0.0002880737554401438,9606.ENSP00000224784
TBC1D12,2.5130321111731137e-05,9606.ENSP00000225235
GOSR2,4.256266191844015e-05,9606.ENSP00000225567
RPS6KB1,0.0002081711917416697,9606.ENSP00000225577
PFN1,6.90194358848432e-05,9606.ENSP00000225655
RASD1,0.00016807397392404108,9606.ENSP00000225688
GOSR1,4.038572598374306e-05,9606.ENSP00000225724
DUSP3,0.00033857322697053774,9606.ENSP00000226004
RCVRN,7.13888395554992e-05,9606.ENSP00000226193
MYH1,0.00012974585388002085,9606.ENSP00000226207
HSPA8,0.0002706828618000231,9606.ENSP00000227378
PXN,0.00013425090435113975,9606.ENSP00000228307
MYL2,7.699694973057984e-05,9606.ENSP00000228841
DUSP16,5.690788031852867e-05,9606.ENSP00000228862
OAS3,0.0002759892962025126,9606.ENSP00000228928
ARHGDIB,6.080522214048807e-05,9606.ENSP00000228945
GAPDH,0.00043448519699910423,9606.ENSP00000229239
GNB3,0.00011801744620462622,9606.ENSP00000229264
RAB35,2.1144509010566375e-05,9606.ENSP00000229340
MAPK14,0.00038210854778810696,9606.ENSP00000229794
STK38,0.00013430692345624474,9606.ENSP00000229812
CAP2,0.00011538012523641274,9606.ENSP00000229922
RPS12,7.711688195430646e-05,9606.ENSP00000230050
SNX3,2.7726264288346655e-05,9606.ENSP00000230085
GUCA1B,5.3808263690589706e-05,9606.ENSP00000230361
PTK7,9.219728111518274e-05,9606.ENSP00000230419
EXOC2,5.26140271398661e-05,9606.ENSP00000230449
TMEM30A,2.3671299127644716e-05,9606.ENSP00000230461
HARS2,5.919769072469727e-05,9606.ENSP00000230771
BNIP1,1.4994969505919403e-05,9606.ENSP00000231668
GNAT1,0.00010651113413728342,9606.ENSP00000232461
GNB4,0.00011914123634478127,9606.ENSP00000232564
TNNC1,0.00010260516363479274,9606.ENSP00000232975
PPP1R7,7.695735383592871e-05,9606.ENSP00000234038
PASK,9.682971156242545e-05,9606.ENSP00000234040
PPP3R1,0.00013182687356272282,9606.ENSP00000234310
PLEK,0.0001215061434164961,9606.ENSP00000234313
MFN2,6.975271031728574e-05,9606.ENSP00000235329
VAMP4,5.0338012477581276e-05,9606.ENSP00000236192
EEF1B2,5.512071190969183e-05,9606.ENSP00000236957
MYL12B,8.009238124702695e-05,9606.ENSP00000237500
RPN2,4.431019474900479e-05,9606.ENSP00000237530
PKD2,4.4784331480345346e-05,9606.ENSP00000237596
ZFAND5,1.4119652154667386e-05,9606.ENSP00000237937
YWHAQ,0.00020324214900164294,9606.ENSP00000238081
RHOQ,0.00017858280623667838,9606.ENSP00000238738
ATAD2B,9.540494041328988e-05,9606.ENSP00000238789
DUSP1,9.791218016715631e-05,9606.ENSP00000239223
ARAP3,3.33832738331376e-05,9606.ENSP00000239440
EGR1,0.00020068014904297743,9606.ENSP00000239938
PFN2,5.701156299245e-05,9606.ENSP00000239940
DUSP4,6.8167616035331e-05,9606.ENSP00000240100
PPP3CC,0.00019330204555901068,9606.ENSP00000240139
KALRN,0.00011095370499710718,9606.ENSP00000240874
FLT3,0.0001412171698736106,9606.ENSP00000241453
RASL11A,0.0001338143779535864,9606.ENSP00000241463
OCM,9.673522376961418e-05,9606.ENSP00000242104
DDX39A,0.00010060220545308161,9606.ENSP00000242776
RAB9B,6.028806030026697e-05,9606.ENSP00000243298
TNFAIP6,4.1467490038380996e-05,9606.ENSP00000243347
SYS1,1.2218912328608638e-05,9606.ENSP00000243918
RAB22A,4.8219109149065715e-05,9606.ENSP00000244040
MOCS3,7.250546655606815e-05,9606.ENSP00000244051
SSR1,3.450025198658536e-05,9606.ENSP00000244763
RAP2A,0.00016768619781364042,9606.ENSP00000245304
IRF1,7.848632620949534e-05,9606.ENSP00000245414
MYH2,0.00013035067033305555,9606.ENSP00000245503
INSIG2,3.552485291157836e-05,9606.ENSP00000245787
PSD4,1.8055797856903645e-05,9606.ENSP00000245796
DSTN,9.346201270957206e-05,9606.ENSP00000246069
FNTB,2.4746607305703115e-05,9606.ENSP00000246166
LRFN3,5.347017781822342e-05,9606.ENSP00000246529
FLRT1,4.716018481915144e-05,9606.ENSP00000246841
HSPA2,0.00018333217877168983,9606.ENSP00000247207
OMG,7.592904095905205e-05,9606.ENSP00000247271
CANX,0.00011218268838113706,9606.ENSP00000247461
KIF17,9.613627976658363e-05,9606.ENSP00000247986
PLA2G2C,1.9745399371007342e-05,9606.ENSP00000247992
RAB40C,6.55258932794887e-05,9606.ENSP00000248139
TUBA4A,0.0016946813821322212,9606.ENSP00000248437
STYXL1,5.149503420229284e-05,9606.ENSP00000248600
LRFN1,5.957775976024179e-05,9606.ENSP00000248668
RASL11B,0.00014310196707904437,9606.ENSP00000248706
CYTH4,2.2039957341179536e-05,9606.ENSP00000248901
SGSM3,3.472764710904963e-05,9606.ENSP00000248929
YWHAH,0.00020118581067960677,9606.ENSP00000248975
RAC2,0.00022909010990092798,9606.ENSP00000249071
DNAJB9,0.0002759884230680889,9606.ENSP00000249356
LRRC4,6.452008123532978e-05,9606.ENSP00000249363
ISLR,5.7836919122712245e-05,9606.ENSP00000249842
