Symbol,Score,ENSP
ARF5,0.00011519349044930781,9606.ENSP00000000233
CFTR,0.0001668058521726768,9606.ENSP00000003084
CYP51A1,3.952302645940376e-05,9606.ENSP00000003100
RALA,0.00034412923833196146,9606.ENSP00000005257
DVL2,0.00011629122857817508,9606.ENSP00000005340
OSBPL7,1.9656921640596583e-05,9606.ENSP00000007414
LRRC23,4.701338777366686e-05,9606.ENSP00000007969
DYRK4,9.920531314346471e-05,9606.ENSP00000010132
PPP5C,0.00013637960568725757,9606.ENSP00000012443
NME1,0.00013213588881115903,9606.ENSP00000013034
MAP4K5,5.916540980577013e-05,9606.ENSP00000013125
RALBP1,4.981009347783963e-05,9606.ENSP00000019317
PSD,3.11097469624415e-05,9606.ENSP00000020673
RTN4R,8.644762602414385e-05,9606.ENSP00000043402
DCN,0.00016169209403676252,9606.ENSP00000052754
VAMP3,7.019700665265231e-05,9606.ENSP00000054666
ARHGEF5,3.1898414909075106e-05,9606.ENSP00000056217
PKP2,4.169660075410654e-05,9606.ENSP00000070846
STYK1,0.00036800193512426986,9606.ENSP00000075503
GNA11,0.00014789002598375754,9606.ENSP00000078429
TRIB2,0.000104910781402985,9606.ENSP00000155926
ACAP1,2.9563447670610774e-05,9606.ENSP00000158762
ACTL6B,0.00015747569364110968,9606.ENSP00000160382
KIF22,0.00010920983361383661,9606.ENSP00000160827
GOLGA5,2.3498209013198887e-05,9606.ENSP00000163416
PPP2R5B,4.903367319067746e-05,9606.ENSP00000164133
EPHA8,0.00019537984527766817,9606.ENSP00000166244
TNS1,0.00018422563097488963,9606.ENSP00000171887
MAP2K5,0.00012902532996632594,9606.ENSP00000178640
CDK13,0.00022986423696788852,9606.ENSP00000181839
DIMT1,8.255135714976402e-05,9606.ENSP00000199320
NME8,9.627809866838137e-05,9606.ENSP00000199447
MAPK13,0.00024112689533931455,9606.ENSP00000211287
VCL,0.0002064628716347609,9606.ENSP00000211998
PSMD8,8.59193717431312e-05,9606.ENSP00000215071
STX1B,6.276568924185822e-05,9606.ENSP00000215095
MAPK12,0.0002466142724741843,9606.ENSP00000215659
SEC14L3,2.403390059069919e-05,9606.ENSP00000215812
MAPK1,0.0003822502181532735,9606.ENSP00000215832
CABP7,8.339128433793425e-05,9606.ENSP00000216144
TAB1,0.00028367091247037235,9606.ENSP00000216160
MYH9,0.00016232041717873983,9606.ENSP00000216181
TXN2,7.224419934655885e-05,9606.ENSP00000216185
PVALB,0.00013822977915753812,9606.ENSP00000216200
CHADL,4.599540593568451e-05,9606.ENSP00000216241
RIPK3,8.609443894245157e-05,9606.ENSP00000216274
AP4S1,2.3695959197255934e-05,9606.ENSP00000216366
SOS2,8.943750595821131e-05,9606.ENSP00000216373
CNIH1,1.9780999679163302e-05,9606.ENSP00000216416
EIF5,5.1749344022291715e-05,9606.ENSP00000216554
SRP54,7.910790591766899e-05,9606.ENSP00000216774
PABPC1L,6.135766682013335e-05,9606.ENSP00000217073
TUBB1,0.0004018826854514096,9606.ENSP00000217133
EEF1A2,0.00016250482148403046,9606.ENSP00000217182
PTK6,9.465824826518608e-05,9606.ENSP00000217185
SRMS,8.531084103163685e-05,9606.ENSP00000217188
TRIB3,0.00012096304786449764,9606.ENSP00000217233
MYL12A,6.968691336064282e-05,9606.ENSP00000217652
MXRA5,5.209150915427812e-05,9606.ENSP00000217939
GUCY2F,8.544768424460302e-05,9606.ENSP00000218006
TLR8,6.050624037025166e-05,9606.ENSP00000218032
RAB40AL,6.580983750007941e-05,9606.ENSP00000218249
ATP12A,0.00011831797029170476,9606.ENSP00000218548
NTHL1,4.4946842987258184e-05,9606.ENSP00000219066
CORO1A,7.166043066371215e-05,9606.ENSP00000219150
PARD6A,8.452851403449416e-05,9606.ENSP00000219255
NME3,7.368166178518832e-05,9606.ENSP00000219302
PDIA2,8.816211747766652e-05,9606.ENSP00000219406
ARHGDIG,4.962185926677935e-05,9606.ENSP00000219409
NME4,6.803112713365302e-05,9606.ENSP00000219479
CSK,0.00013252306260870477,9606.ENSP00000220003
RASL12,0.00032810292309197475,9606.ENSP00000220062
RHOV,0.00015479240878218977,9606.ENSP00000220507
RIPK2,0.00011276007476866836,9606.ENSP00000220751
NCALD,6.051302843835894e-05,9606.ENSP00000220931
PPP2CB,0.00018162517242160283,9606.ENSP00000221138
TBC1D17,3.100348102844938e-05,9606.ENSP00000221543
RABAC1,3.163554844942956e-05,9606.ENSP00000222008
RASIP1,0.00011310242298772125,9606.ENSP00000222145
GAPDHS,0.00011015101449903654,9606.ENSP00000222286
