Symbol,Score,ENSP
ARF5,0.00022766706000814003,9606.ENSP00000000233
CFTR,0.0001465731312397009,9606.ENSP00000003084
CYP51A1,3.337542465527801e-05,9606.ENSP00000003100
RALA,0.00033393502361079734,9606.ENSP00000005257
DVL2,0.0001268538316425966,9606.ENSP00000005340
OSBPL7,2.392849164195477e-05,9606.ENSP00000007414
LRRC23,0.0001951302494602095,9606.ENSP00000007969
DYRK4,0.0002485636359326032,9606.ENSP00000010132
PPP5C,0.0002443758093854255,9606.ENSP00000012443
NME1,0.0001370637026294328,9606.ENSP00000013034
MAP4K5,8.533369448635317e-05,9606.ENSP00000013125
RALBP1,6.954825227743948e-05,9606.ENSP00000019317
PSD,3.085162213567863e-05,9606.ENSP00000020673
RTN4R,0.0001528296150338248,9606.ENSP00000043402
DCN,0.00021598680202738514,9606.ENSP00000052754
VAMP3,7.097427835470983e-05,9606.ENSP00000054666
ARHGEF5,3.742764820613436e-05,9606.ENSP00000056217
PKP2,4.608221908324461e-05,9606.ENSP00000070846
STYK1,0.0002139624095623171,9606.ENSP00000075503
GNA11,0.00015891394442188515,9606.ENSP00000078429
TRIB2,0.0001427056153500509,9606.ENSP00000155926
ACAP1,3.3303197539927215e-05,9606.ENSP00000158762
ACTL6B,0.00018995172491022145,9606.ENSP00000160382
KIF22,0.0002399954691059558,9606.ENSP00000160827
GOLGA5,1.9579045460538407e-05,9606.ENSP00000163416
PPP2R5B,6.622198939747857e-05,9606.ENSP00000164133
EPHA8,0.000122220781073679,9606.ENSP00000166244
TNS1,0.0002942545392241813,9606.ENSP00000171887
MAP2K5,0.0001765360953356138,9606.ENSP00000178640
CDK13,0.0001551954184487849,9606.ENSP00000181839
DIMT1,8.479021493397808e-05,9606.ENSP00000199320
NME8,9.79060429281643e-05,9606.ENSP00000199447
MAPK13,0.0003583077472135365,9606.ENSP00000211287
VCL,0.00011865767439656012,9606.ENSP00000211998
PSMD8,7.998824197627313e-05,9606.ENSP00000215071
STX1B,7.478187969101783e-05,9606.ENSP00000215095
MAPK12,0.00036540287999740803,9606.ENSP00000215659
SEC14L3,2.507989358137332e-05,9606.ENSP00000215812
MAPK1,0.0004729826118682755,9606.ENSP00000215832
CABP7,0.00010370011724409577,9606.ENSP00000216144
TAB1,0.00020976870351365577,9606.ENSP00000216160
MYH9,0.0002556650526602629,9606.ENSP00000216181
TXN2,7.370765618103125e-05,9606.ENSP00000216185
PVALB,0.00014526477708052404,9606.ENSP00000216200
CHADL,0.00012604741817199286,9606.ENSP00000216241
RIPK3,0.00011310156545969838,9606.ENSP00000216274
AP4S1,2.4708552096447862e-05,9606.ENSP00000216366
SOS2,0.00024655784673506976,9606.ENSP00000216373
CNIH1,2.1137429625483627e-05,9606.ENSP00000216416
EIF5,5.612202758139172e-05,9606.ENSP00000216554
SRP54,8.535386164761018e-05,9606.ENSP00000216774
PABPC1L,7.005921444272629e-05,9606.ENSP00000217073
TUBB1,0.0002826544719417582,9606.ENSP00000217133
EEF1A2,0.0001246177390425668,9606.ENSP00000217182
PTK6,0.00011923037424937058,9606.ENSP00000217185
SRMS,0.00010703943252016217,9606.ENSP00000217188
TRIB3,0.00015637889609826779,9606.ENSP00000217233
MYL12A,9.131148980405542e-05,9606.ENSP00000217652
MXRA5,0.00013131286454993928,9606.ENSP00000217939
GUCY2F,0.0001044844814641677,9606.ENSP00000218006
TLR8,0.00013104558760496324,9606.ENSP00000218032
RAB40AL,9.00773615686786e-05,9606.ENSP00000218249
ATP12A,0.00010068989429190124,9606.ENSP00000218548
NTHL1,5.185969973537238e-05,9606.ENSP00000219066
CORO1A,6.908106186789054e-05,9606.ENSP00000219150
PARD6A,8.330184223190353e-05,9606.ENSP00000219255
NME3,8.024822552686825e-05,9606.ENSP00000219302
PDIA2,8.957968892830376e-05,9606.ENSP00000219406
ARHGDIG,6.339123645424493e-05,9606.ENSP00000219409
NME4,7.604949346006273e-05,9606.ENSP00000219479
CSK,0.0001514186216144072,9606.ENSP00000220003
RASL12,0.0003539706778676395,9606.ENSP00000220062
RHOV,0.0002897247318074114,9606.ENSP00000220507
RIPK2,0.00013553145898766777,9606.ENSP00000220751
NCALD,6.901803964799681e-05,9606.ENSP00000220931
PPP2CB,0.00033022522644032,9606.ENSP00000221138
TBC1D17,0.00012439485424430648,9606.ENSP00000221543
RABAC1,3.427204406144964e-05,9606.ENSP00000222008
RASIP1,8.860003271211012e-05,9606.ENSP00000222145
GAPDHS,0.00011941496752647122,9606.ENSP00000222286
USF2,3.313371206064562e-05,9606.ENSP00000222305
GSK3A,0.00022777912900330292,9606.ENSP00000222330
HGF,4.784079098115947e-05,9606.ENSP00000222390
UBE2D4,7.54691315911887e-05,9606.ENSP00000222402
BET1,4.887713790701339e-05,9606.ENSP00000222547
CHN2,6.426229515824365e-05,9606.ENSP00000222792
STX1A,8.698440772910729e-05,9606.ENSP00000222812
WASL,0.00010059686812692145,9606.ENSP00000223023
C1GALT1,3.0703442272631875e-05,9606.ENSP00000223122
MYL10,6.47623762985908e-05,9606.ENSP00000223167
MYL7,7.003572330990628e-05,9606.ENSP00000223364
YKT6,5.299632388330503e-05,9606.ENSP00000223369
ACTA2,0.0003261519380726495,9606.ENSP00000224784
TBC1D12,0.0001102833968615783,9606.ENSP00000225235
GOSR2,4.642288838340978e-05,9606.ENSP00000225567
RPS6KB1,0.0003210154382215938,9606.ENSP00000225577
PFN1,7.175413491480443e-05,9606.ENSP00000225655
RASD1,0.00029939602747087535,9606.ENSP00000225688
GOSR1,3.806885578588818e-05,9606.ENSP00000225724
DUSP3,0.00016515041577327464,9606.ENSP00000226004
RCVRN,7.275658915407277e-05,9606.ENSP00000226193
MYH1,0.00022062239693980277,9606.ENSP00000226207
HSPA8,0.00032230123742168386,9606.ENSP00000227378
PXN,0.00013993666092875187,9606.ENSP00000228307
MYL2,9.21937532187089e-05,9606.ENSP00000228841
DUSP16,0.00015950522708494435,9606.ENSP00000228862
OAS3,0.0003680622239839777,9606.ENSP00000228928
ARHGDIB,7.036407434607496e-05,9606.ENSP00000228945
GAPDH,0.0005099196745843627,9606.ENSP00000229239
GNB3,0.0001474561453615978,9606.ENSP00000229264
RAB35,2.1320235803989235e-05,9606.ENSP00000229340
MAPK14,0.0004921840621433185,9606.ENSP00000229794
STK38,0.00033062167407999713,9606.ENSP00000229812
CAP2,0.00014089503782878086,9606.ENSP00000229922
RPS12,7.387716088086826e-05,9606.ENSP00000230050
SNX3,2.540152411033295e-05,9606.ENSP00000230085
GUCA1B,5.774481766590855e-05,9606.ENSP00000230361
PTK7,0.0001175705850584679,9606.ENSP00000230419
EXOC2,5.5030802080337315e-05,9606.ENSP00000230449
TMEM30A,2.555131037631771e-05,9606.ENSP00000230461
HARS2,6.216531375216556e-05,9606.ENSP00000230771
BNIP1,1.529520933225354e-05,9606.ENSP00000231668
GNAT1,0.00014369999065814347,9606.ENSP00000232461
GNB4,0.00015168906282159847,9606.ENSP00000232564
TNNC1,0.00011909116637027995,9606.ENSP00000232975
PPP1R7,0.00021262133798730613,9606.ENSP00000234038
PASK,0.00010860538562255213,9606.ENSP00000234040
PPP3R1,0.000158459963233405,9606.ENSP00000234310
PLEK,0.0001163126829596096,9606.ENSP00000234313
MFN2,7.671009061435985e-05,9606.ENSP00000235329
VAMP4,5.424206505015257e-05,9606.ENSP00000236192
EEF1B2,5.524336138222123e-05,9606.ENSP00000236957
MYL12B,9.611951143472628e-05,9606.ENSP00000237500
RPN2,4.482728662206648e-05,9606.ENSP00000237530
PKD2,3.761821609195933e-05,9606.ENSP00000237596
ZFAND5,1.4659102047998676e-05,9606.ENSP00000237937
YWHAQ,0.00022514620208709664,9606.ENSP00000238081
RHOQ,0.00030548642674231796,9606.ENSP00000238738
ATAD2B,0.00010610188578304154,9606.ENSP00000238789
DUSP1,0.00021815269737223097,9606.ENSP00000239223
ARAP3,4.116085244818833e-05,9606.ENSP00000239440
EGR1,0.0002234177160454603,9606.ENSP00000239938
PFN2,6.400039921702417e-05,9606.ENSP00000239940
DUSP4,0.00019720406144977984,9606.ENSP00000240100
PPP3CC,0.00032294135970626644,9606.ENSP00000240139
KALRN,0.00011522411941586697,9606.ENSP00000240874
FLT3,0.00016748960222582595,9606.ENSP00000241453
RASL11A,0.0002613159313174957,9606.ENSP00000241463
OCM,0.00011454513228903657,9606.ENSP00000242104
DDX39A,0.00010579228171831256,9606.ENSP00000242776
RAB9B,6.348302632301063e-05,9606.ENSP00000243298
TNFAIP6,3.97058548428457e-05,9606.ENSP00000243347
SYS1,1.2641325578426911e-05,9606.ENSP00000243918
RAB22A,6.27390290735549e-05,9606.ENSP00000244040
MOCS3,7.987496063439461e-05,9606.ENSP00000244051
SSR1,3.249342239206111e-05,9606.ENSP00000244763
RAP2A,0.0003021047802998807,9606.ENSP00000245304
IRF1,8.28828493776178e-05,9606.ENSP00000245414
MYH2,0.00022243471902331079,9606.ENSP00000245503
INSIG2,4.10950264970968e-05,9606.ENSP00000245787
PSD4,2.2405137732573417e-05,9606.ENSP00000245796
DSTN,0.00010195139821714605,9606.ENSP00000246069
FNTB,3.31459319351111e-05,9606.ENSP00000246166
LRFN3,0.0001292100221362351,9606.ENSP00000246529
FLRT1,0.0001162997271225619,9606.ENSP00000246841
HSPA2,0.0002512308337205421,9606.ENSP00000247207
OMG,0.00016403881779080356,9606.ENSP00000247271
CANX,0.00010104786109972414,9606.ENSP00000247461
KIF17,0.0001454276454711523,9606.ENSP00000247986
PLA2G2C,1.2784035256503993e-05,9606.ENSP00000247992
RAB40C,8.03358035971239e-05,9606.ENSP00000248139
TUBA4A,0.0006335017527952963,9606.ENSP00000248437
STYXL1,0.00015372087954368502,9606.ENSP00000248600
LRFN1,0.00013556010607638572,9606.ENSP00000248668
RASL11B,0.0002669852083398986,9606.ENSP00000248706
CYTH4,2.6736039250051237e-05,9606.ENSP00000248901
SGSM3,0.00011561310015164577,9606.ENSP00000248929
YWHAH,0.00022455227424485958,9606.ENSP00000248975
RAC2,0.0003636136880045728,9606.ENSP00000249071
DNAJB9,0.00010843952940909298,9606.ENSP00000249356
LRRC4,0.00013879841517109434,9606.ENSP00000249363
ISLR,0.00013562525452512483,9606.ENSP00000249842
COPB1,6.649585655631919e-05,9606.ENSP00000249923
USP6,0.00013600197362198486,9606.ENSP00000250066
DNAAF11,0.0001989307867094637,9606.ENSP00000250173
AP1M2,4.460357093242239e-05,9606.ENSP00000250244
NEDD8,0.0002730535962798568,9606.ENSP00000250495
MAPK8IP3,3.51268360151404e-05,9606.ENSP00000250894
LMAN1,3.3261758031920436e-05,9606.ENSP00000251047
CNGB1,2.1080492095377747e-05,9606.ENSP00000251102
SEC14L5,3.2337114760536474e-05,9606.ENSP00000251170
GNAT2,0.00014470598359596292,9606.ENSP00000251337
TUBG2,0.0005755950328280024,9606.ENSP00000251412
TUBG1,0.0006524909092401894,9606.ENSP00000251413
RABGAP1L,0.00011977993775072938,9606.ENSP00000251507
PDGFRL,0.0001071664625163944,9606.ENSP00000251630
SPAG1,0.00020584733605800187,9606.ENSP00000251809
RAF1,0.00015735173254647847,9606.ENSP00000251849
ACTR3C,0.00014826289760731066,9606.ENSP00000252071
MYH13,0.00019063082045969425,9606.ENSP00000252172
KRT1,3.511332704353744e-05,9606.ENSP00000252244
RPL36,6.562148850876041e-05,9606.ENSP00000252543
MAP3K10,0.00011844723158088266,9606.ENSP00000253055
HIP1R,5.7359943437866645e-05,9606.ENSP00000253083
LATS1,0.0003625113136759918,9606.ENSP00000253339
ACLY,0.00025757842159016583,9606.ENSP00000253792
EXOC4,6.920987957855555e-05,9606.ENSP00000253861
SNRPA1,0.00017494298403102255,9606.ENSP00000254193
ADCY7,0.00016347179340949646,9606.ENSP00000254235
ACTR10,0.00024836391921925354,9606.ENSP00000254286
ARFIP2,3.5640329609745806e-05,9606.ENSP00000254584
ILKAP,7.420669829107014e-05,9606.ENSP00000254654
KDM6B,0.0001711841596631506,9606.ENSP00000254846
GUCY2D,0.00011151694581650973,9606.ENSP00000254854
RIDA,1.6128632205183175e-05,9606.ENSP00000254878
HSPA12B,0.0001262503554460755,9606.ENSP00000254963
AP3B1,5.363862951024176e-05,9606.ENSP00000255194
PDE6A,0.00020014388165990818,9606.ENSP00000255266
MYH4,0.0002139938565256066,9606.ENSP00000255381
SEC14L4,2.5782458367530345e-05,9606.ENSP00000255858
ACTR3B,0.00016330865322440637,9606.ENSP00000256001
KRAS,0.0004559691984967352,9606.ENSP00000256078
DUSP26,0.00014985980506755664,9606.ENSP00000256261
CD180,0.0001177457529283216,9606.ENSP00000256447
IRAK2,0.00014432282119267907,9606.ENSP00000256458
ARL8B,1.8477783372101728e-05,9606.ENSP00000256496
AP4B1,4.716358010915617e-05,9606.ENSP00000256658
ERN2,0.000113685264406169,9606.ENSP00000256797
RERG,0.0002671195906782131,9606.ENSP00000256953
RAB33A,7.601793335416475e-05,9606.ENSP00000257017
PDGFRA,0.00017000286708868136,9606.ENSP00000257290
ANXA1,8.471969702573888e-05,9606.ENSP00000257497
OASL,0.0003715728784403387,9606.ENSP00000257570
OCM2,0.00011505866206833539,9606.ENSP00000257627
CDK4,0.0005445972490170586,9606.ENSP00000257904
KRT82,1.5346007046338554e-05,9606.ENSP00000257974
RAB11FIP5,1.3216975167850748e-05,9606.ENSP00000258098
STX6,4.617814195351065e-05,9606.ENSP00000258301
WNT10A,3.9174161457222064e-05,9606.ENSP00000258411
APPL2,2.248443168541489e-05,9606.ENSP00000258530
KDELR2,3.416986696933403e-05,9606.ENSP00000258739
MYO1G,0.00010413806198849834,9606.ENSP00000258787
CIB2,5.440622358301804e-05,9606.ENSP00000258930
CHAD,0.0001420672498779381,9606.ENSP00000258969
BLK,0.00013126857985581335,9606.ENSP00000259089
LRRC8A,0.00013667154652458882,9606.ENSP00000259324
DAB2IP,4.404899252166299e-05,9606.ENSP00000259371
STX17,5.2914001394357484e-05,9606.ENSP00000259400
KIF13A,0.0001286398305096233,9606.ENSP00000259711
RIPK1,0.00013406652911124347,9606.ENSP00000259808
TUBB2B,0.00040072728426897156,9606.ENSP00000259818
TLR2,0.00020379484077940403,9606.ENSP00000260010
LRRC32,0.00013511893420993065,9606.ENSP00000260061
TTPA,3.0917072231282535e-05,9606.ENSP00000260116
KIF23,0.00038878103106672823,9606.ENSP00000260363
LRRC49,0.00019670494406516867,9606.ENSP00000260382
PAK6,0.0002305500647419036,9606.ENSP00000260404
ARHGAP29,5.763499727310835e-05,9606.ENSP00000260526
IFT172,4.64234704939474e-05,9606.ENSP00000260570
ADCY3,0.0001716888759183561,9606.ENSP00000260600
PREB,2.8899277393137857e-05,9606.ENSP00000260643
KIF11,0.0004277095138885298,9606.ENSP00000260731
KIF20B,0.0002934063047827396,9606.ENSP00000260753
EXOC6,6.096189559032817e-05,9606.ENSP00000260762
METTL5,1.4666618635282522e-05,9606.ENSP00000260953
CDK15,0.00042110055587047307,9606.ENSP00000260967
GUCA1C,5.36579882729e-05,9606.ENSP00000261047
GUCY2C,0.00010017214184911789,9606.ENSP00000261170
EPYC,0.00013855984423547852,9606.ENSP00000261172
OSBPL8,3.0720782691054354e-05,9606.ENSP00000261183
CDK17,0.00043230510807577935,9606.ENSP00000261211
IRAK3,0.00013947383602503006,9606.ENSP00000261233
RAB21,1.5487378247622892e-05,9606.ENSP00000261263
ZNF24,7.053169734306187e-05,9606.ENSP00000261332
YPEL5,2.457202221244733e-05,9606.ENSP00000261353
CORO1C,6.257365345053152e-05,9606.ENSP00000261401
PPP2R5A,7.724988820828401e-05,9606.ENSP00000261461
PSMA6,9.217604131415353e-05,9606.ENSP00000261479
MAN2A1,1.741439859817576e-05,9606.ENSP00000261483
MSMO1,2.963259376782315e-05,9606.ENSP00000261507
SNW1,0.00012563242283154615,9606.ENSP00000261531
AP5M1,5.245772310351411e-05,9606.ENSP00000261558
ARL1,0.00020102846222171494,9606.ENSP00000261636
AP3B2,4.5160319683153465e-05,9606.ENSP00000261722
CDH1,0.0002211640207414382,9606.ENSP00000261769
PDGFRB,0.00022788338784701998,9606.ENSP00000261799
MYO5C,0.00023978567870140645,9606.ENSP00000261839
AP4E1,3.446018979846655e-05,9606.ENSP00000261842
MAPK6,0.00031761699336278326,9606.ENSP00000261845
RAB11A,0.00030636254717028984,9606.ENSP00000261890
FLT4,0.00014379763489987161,9606.ENSP00000261937
CNOT6,0.00018590070000524896,9606.ENSP00000261951
PIK3C3,0.0001393922867359638,9606.ENSP00000262039
COPZ1,3.322610359872943e-05,9606.ENSP00000262061
TSPAN13,8.728651865065653e-06,9606.ENSP00000262067
ZDHHC2,2.4108981433723536e-05,9606.ENSP00000262096
ARFGEF1,5.539266397248077e-05,9606.ENSP00000262215
TMED2,2.7741186047404053e-05,9606.ENSP00000262225
PKD1,4.7671794253187774e-05,9606.ENSP00000262304
RAB11FIP3,2.1343439855783793e-05,9606.ENSP00000262305
TRAF4,5.4300680804330315e-05,9606.ENSP00000262395
ERP44,6.814571349221283e-05,9606.ENSP00000262455
GNAO1,0.0001715665191924358,9606.ENSP00000262493
CSNK2A2,0.00016123139548888192,9606.ENSP00000262506
SEC23B,5.054502938763931e-05,9606.ENSP00000262544
