Symbol,Score,ENSP
ARF5,0.00012321087764706644,9606.ENSP00000000233
CFTR,0.00015393381301211892,9606.ENSP00000003084
CYP51A1,3.631113464027015e-05,9606.ENSP00000003100
RALA,0.00021266317228579184,9606.ENSP00000005257
DVL2,0.00011620457395159564,9606.ENSP00000005340
OSBPL7,2.4605981758955367e-05,9606.ENSP00000007414
LRRC23,5.576704473043896e-05,9606.ENSP00000007969
DYRK4,0.00011810769688169711,9606.ENSP00000010132
PPP5C,0.0001554776364319905,9606.ENSP00000012443
NME1,0.00013718596068001954,9606.ENSP00000013034
MAP4K5,6.952163948860675e-05,9606.ENSP00000013125
RALBP1,4.589497120788536e-05,9606.ENSP00000019317
PSD,2.7089817303032e-05,9606.ENSP00000020673
RTN4R,8.245082362134681e-05,9606.ENSP00000043402
DCN,0.00013695408658873464,9606.ENSP00000052754
VAMP3,6.788513860233228e-05,9606.ENSP00000054666
ARHGEF5,3.2921999557696574e-05,9606.ENSP00000056217
PKP2,3.686450615757434e-05,9606.ENSP00000070846
STYK1,0.00011447194261253303,9606.ENSP00000075503
GNA11,0.00014480881702692402,9606.ENSP00000078429
TRIB2,0.00011986559839774424,9606.ENSP00000155926
ACAP1,3.474592237734031e-05,9606.ENSP00000158762
ACTL6B,0.00016648394411132575,9606.ENSP00000160382
KIF22,0.00010260191598029305,9606.ENSP00000160827
GOLGA5,1.7040578022243357e-05,9606.ENSP00000163416
PPP2R5B,5.0743630656608565e-05,9606.ENSP00000164133
EPHA8,0.00010682060364313238,9606.ENSP00000166244
TNS1,0.0001724716831463417,9606.ENSP00000171887
MAP2K5,0.00014985915689451332,9606.ENSP00000178640
CDK13,7.729193392257696e-05,9606.ENSP00000181839
DIMT1,9.271177768190583e-05,9606.ENSP00000199320
NME8,0.00012110639589184363,9606.ENSP00000199447
MAPK13,0.00025750118674603843,9606.ENSP00000211287
VCL,0.00011194268263232551,9606.ENSP00000211998
PSMD8,0.00094997622786629,9606.ENSP00000215071
STX1B,6.705538169559935e-05,9606.ENSP00000215095
MAPK12,0.00026247861623378174,9606.ENSP00000215659
SEC14L3,2.2499780439318215e-05,9606.ENSP00000215812
MAPK1,0.0003755982596561721,9606.ENSP00000215832
CABP7,8.987242287674421e-05,9606.ENSP00000216144
TAB1,0.00011339376282718582,9606.ENSP00000216160
MYH9,0.00016068557086303285,9606.ENSP00000216181
TXN2,7.558058624955145e-05,9606.ENSP00000216185
PVALB,0.00013312398488652693,9606.ENSP00000216200
CHADL,5.4503269553256075e-05,9606.ENSP00000216241
RIPK3,9.910848921355816e-05,9606.ENSP00000216274
AP4S1,2.5334978249103506e-05,9606.ENSP00000216366
SOS2,9.704515984244045e-05,9606.ENSP00000216373
CNIH1,1.991934625365332e-05,9606.ENSP00000216416
EIF5,5.226391528803185e-05,9606.ENSP00000216554
SRP54,8.553028407531361e-05,9606.ENSP00000216774
PABPC1L,5.863889001435578e-05,9606.ENSP00000217073
TUBB1,0.00014566615192551904,9606.ENSP00000217133
EEF1A2,0.00011913897719658595,9606.ENSP00000217182
PTK6,0.00010711138773690179,9606.ENSP00000217185
SRMS,9.532944738328624e-05,9606.ENSP00000217188
TRIB3,0.00013498086605418316,9606.ENSP00000217233
MYL12A,7.171179089511296e-05,9606.ENSP00000217652
MXRA5,5.996722163668943e-05,9606.ENSP00000217939
GUCY2F,0.00010216281176554022,9606.ENSP00000218006
TLR8,6.472126557649532e-05,9606.ENSP00000218032
RAB40AL,6.431265120990287e-05,9606.ENSP00000218249
ATP12A,0.00010761196295138162,9606.ENSP00000218548
NTHL1,5.2191601855543914e-05,9606.ENSP00000219066
CORO1A,6.4623596947622e-05,9606.ENSP00000219150
PARD6A,8.782375229284805e-05,9606.ENSP00000219255
NME3,8.320813571900622e-05,9606.ENSP00000219302
PDIA2,9.889892583296939e-05,9606.ENSP00000219406
ARHGDIG,5.2496294710892355e-05,9606.ENSP00000219409
NME4,7.707358378166118e-05,9606.ENSP00000219479
CSK,0.00013820174751034696,9606.ENSP00000220003
RASL12,0.00018942290057641747,9606.ENSP00000220062
RHOV,0.0001724790401424809,9606.ENSP00000220507
RIPK2,0.00011831237420507933,9606.ENSP00000220751
NCALD,5.636111744252543e-05,9606.ENSP00000220931
PPP2CB,0.00019585745173920815,9606.ENSP00000221138
TBC1D17,3.30189912627345e-05,9606.ENSP00000221543
RABAC1,2.9459920028643165e-05,9606.ENSP00000222008
RASIP1,7.919040683619884e-05,9606.ENSP00000222145
GAPDHS,0.00010565150505619501,9606.ENSP00000222286
USF2,3.291783195955061e-05,9606.ENSP00000222305
GSK3A,0.00020287487752900475,9606.ENSP00000222330
HGF,4.4593191844736655e-05,9606.ENSP00000222390
UBE2D4,7.543416155813312e-05,9606.ENSP00000222402
BET1,4.464334772075489e-05,9606.ENSP00000222547
CHN2,4.2784800970947705e-05,9606.ENSP00000222792
STX1A,7.854552714025595e-05,9606.ENSP00000222812
WASL,0.00010738347420279099,9606.ENSP00000223023
C1GALT1,0.0005223275081714146,9606.ENSP00000223122
MYL10,4.904986861921994e-05,9606.ENSP00000223167
MYL7,5.163316292053384e-05,9606.ENSP00000223364
YKT6,4.935960563249153e-05,9606.ENSP00000223369
ACTA2,0.0002959063742517976,9606.ENSP00000224784
TBC1D12,2.4745614184210974e-05,9606.ENSP00000225235
GOSR2,4.0702574841224633e-05,9606.ENSP00000225567
RPS6KB1,0.0002274055584667927,9606.ENSP00000225577
PFN1,6.528625585275242e-05,9606.ENSP00000225655
RASD1,0.00018759192809646708,9606.ENSP00000225688
GOSR1,3.708746208912878e-05,9606.ENSP00000225724
DUSP3,7.565880953133129e-05,9606.ENSP00000226004
RCVRN,6.050911660491946e-05,9606.ENSP00000226193
MYH1,0.00012170317166635943,9606.ENSP00000226207
HSPA8,0.000266597880975298,9606.ENSP00000227378
PXN,0.0001312448018318571,9606.ENSP00000228307
MYL2,7.069645491850821e-05,9606.ENSP00000228841
DUSP16,6.621596219529997e-05,9606.ENSP00000228862
OAS3,0.00028674058980215157,9606.ENSP00000228928
ARHGDIB,5.533144792813638e-05,9606.ENSP00000228945
GAPDH,0.00044819233071255135,9606.ENSP00000229239
GNB3,0.00011933068557429758,9606.ENSP00000229264
RAB35,2.2435990500879583e-05,9606.ENSP00000229340
MAPK14,0.0003931114005338484,9606.ENSP00000229794
STK38,0.000524096592845915,9606.ENSP00000229812
CAP2,0.0007197632664320942,9606.ENSP00000229922
RPS12,8.210262099202722e-05,9606.ENSP00000230050
SNX3,2.487955520338738e-05,9606.ENSP00000230085
GUCA1B,4.514766852609642e-05,9606.ENSP00000230361
PTK7,0.00010076745307788701,9606.ENSP00000230419
EXOC2,4.6617638473103296e-05,9606.ENSP00000230449
TMEM30A,3.3168626472808544e-05,9606.ENSP00000230461
HARS2,6.018981228143174e-05,9606.ENSP00000230771
BNIP1,1.5547596697380287e-05,9606.ENSP00000231668
GNAT1,0.00011873196335679866,9606.ENSP00000232461
GNB4,0.00012779592370065862,9606.ENSP00000232564
TNNC1,0.00010360581661721228,9606.ENSP00000232975
PPP1R7,7.138317676840913e-05,9606.ENSP00000234038
PASK,9.40759709703506e-05,9606.ENSP00000234040
PPP3R1,0.0005727819392134924,9606.ENSP00000234310
PLEK,0.00011577125533926607,9606.ENSP00000234313
MFN2,7.005545498297627e-05,9606.ENSP00000235329
VAMP4,4.948802237624102e-05,9606.ENSP00000236192
EEF1B2,5.1319932326856886e-05,9606.ENSP00000236957
MYL12B,7.46913766263528e-05,9606.ENSP00000237500
RPN2,4.584496619423021e-05,9606.ENSP00000237530
PKD2,3.9909168382807745e-05,9606.ENSP00000237596
ZFAND5,1.3793476662135266e-05,9606.ENSP00000237937
YWHAQ,0.00019724441340346157,9606.ENSP00000238081
RHOQ,0.00018078543967698326,9606.ENSP00000238738
ATAD2B,9.798951432065178e-05,9606.ENSP00000238789
DUSP1,0.00011270642423048093,9606.ENSP00000239223
ARAP3,3.090237625835187e-05,9606.ENSP00000239440
EGR1,0.00021956920706819465,9606.ENSP00000239938
PFN2,6.440764168945546e-05,9606.ENSP00000239940
DUSP4,8.218724395287609e-05,9606.ENSP00000240100
PPP3CC,0.0005879666433546112,9606.ENSP00000240139
KALRN,0.00010108388799841912,9606.ENSP00000240874
FLT3,0.0001512131072849725,9606.ENSP00000241453
RASL11A,0.00014626462947731444,9606.ENSP00000241463
OCM,0.00010204364819360487,9606.ENSP00000242104
DDX39A,0.00010246041279620887,9606.ENSP00000242776
RAB9B,4.949131113463118e-05,9606.ENSP00000243298
