Symbol,Score
PCNT,0.9990000000000001
ALMS1,0.9990000000000001
CEP135,0.9990000000000001
CEP192,0.9990000000000001
CEP350,0.998
CEP72,0.998
CDK5RAP2,0.998
CEP63,0.998
PLK4,0.998
KIAA0753,0.998
CEP43,0.998
NIN,0.998
PCM1,0.997
CENPJ,0.997
TBC1D31,0.997
HAUS2,0.996
CCP110,0.996
NDC80,0.996
SPICE1,0.996
SASS6,0.996
ODF2,0.996
CEP131,0.996
CEP128,0.995
CEP170,0.995
HAUS3,0.995
CEP120,0.995
CEP250,0.9940000000000001
SSX2IP,0.9940000000000001
CEP85,0.9940000000000001
NEDD1,0.9940000000000001
ENTR1,0.9940000000000001
TCHP,0.9940000000000001
TUBGCP2,0.9940000000000001
CEP290,0.993
CEP57,0.993
AKAP9,0.993
STIL,0.993
CEP164,0.993
CNTRL,0.993
SPAG5,0.993
OFD1,0.993
TUBGCP4,0.992
MPHOSPH9,0.992
SFI1,0.992
CEP76,0.992
CEP20,0.991
WDR62,0.99
CLASP1,0.99
CEP162,0.99
HAUS6,0.9890000000000001
CEP97,0.9890000000000001
CCDC77,0.9890000000000001
CCDC138,0.988
POC5,0.988
PIBF1,0.988
MIB1,0.987
TUBGCP5,0.986
CCDC18,0.985
GPATCH1,0.985
CEP41,0.985
BORA,0.9840000000000001
KNSTRN,0.9840000000000001
HAUS4,0.983
SDCCAG8,0.983
TUBG1,0.983
TUBGCP6,0.982
NINL,0.982
CEP295,0.981
CEP70,0.981
KIF23,0.98
CEP78,0.98
NEK2,0.9790000000000001
CCHCR1,0.978
CENPF,0.977
PAFAH1B1,0.976
CCNB2,0.976
RPF2,0.9740000000000001
DCTN1,0.972
TUBGCP3,0.971
CETN2,0.971
DYNLL2,0.971
KIAA1328,0.971
TTK,0.97
CEP55,0.9690000000000001
SKA1,0.968
CENPE,0.9670000000000001
BUB1,0.9670000000000001
GPS1,0.966
ZWILCH,0.965
DCTN3,0.965
MAPRE1,0.965
DYNLL1,0.963
CENPL,0.963
HAUS1,0.9620000000000001
KIF2C,0.9620000000000001
CROCC,0.961
WRAP73,0.961
TUBD1,0.961
PRKAR2B,0.961
GTSE1,0.96
