Symbol,Score
CEP152,1.0
CDK5RAP2,0.9990000000000001
NIN,0.9990000000000001
CCP110,0.998
CEP192,0.998
CEP43,0.998
CEP63,0.998
CEP170,0.997
CEP72,0.997
PLK4,0.997
CEP131,0.997
SASS6,0.996
NDC80,0.996
PCM1,0.996
NEDD1,0.996
ALMS1,0.996
SFI1,0.996
CENPJ,0.996
SDCCAG8,0.996
CEP135,0.996
SPAG5,0.995
OFD1,0.995
CEP250,0.995
CEP290,0.995
AKAP9,0.9940000000000001
SSNA1,0.9940000000000001
HAUS2,0.9940000000000001
CEP57,0.9940000000000001
CCDC138,0.9940000000000001
CEP128,0.993
CCDC77,0.993
TBC1D31,0.993
CEP162,0.993
KIAA0753,0.993
MPHOSPH9,0.993
CNTRL,0.993
CEP350,0.992
TUBGCP6,0.992
SPICE1,0.992
CEP164,0.992
SSX2IP,0.992
CEP41,0.992
DCTN3,0.991
TUBGCP2,0.991
CEP76,0.991
ODF2,0.991
KIF7,0.99
TUBGCP3,0.99
HAUS1,0.99
CLASP1,0.99
TUBG1,0.99
HAUS6,0.988
CEP20,0.988
CEP70,0.987
CEP55,0.987
HAUS4,0.987
ENTR1,0.986
PIBF1,0.986
RAB8A,0.986
ACTR1A,0.985
CCNB2,0.985
CEP120,0.985
HAUS7,0.9840000000000001
PRKAR2A,0.9840000000000001
DCTN1,0.9840000000000001
CEP78,0.9840000000000001
PAFAH1B1,0.9840000000000001
TUBA1A,0.9840000000000001
TUBGCP5,0.9840000000000001
DYNC1I2,0.983
DCTN2,0.983
MAPRE1,0.983
MIB1,0.982
GPATCH1,0.982
BORA,0.982
STIL,0.981
CEP97,0.981
CCDC18,0.981
PRKAR2B,0.98
NINL,0.98
CDK1,0.9790000000000001
PLK1,0.9790000000000001
DYNC1LI2,0.978
CCDC66,0.978
TCHP,0.977
DYNC1H1,0.976
TUBGCP4,0.976
CAMSAP1,0.975
HAUS5,0.975
CSNK1E,0.975
CSNK1D,0.9740000000000001
NDE1,0.9740000000000001
KIFC1,0.973
CEP295,0.973
MTPN,0.972
GOLGA2,0.972
WDR62,0.971
KIF2A,0.971
CKAP5,0.971
PRKACA,0.971
