Symbol,Score
SASS6,0.998
CEP152,0.998
ODF2,0.996
CEP135,0.996
PCNT,0.996
STIL,0.996
CEP76,0.995
CEP43,0.993
NEDD1,0.993
CENPJ,0.993
CCP110,0.993
NIN,0.992
PCM1,0.992
ALMS1,0.992
TUBGCP6,0.992
CETN2,0.991
OFD1,0.991
CDK5RAP2,0.991
CNTRL,0.99
TUBGCP5,0.99
CEP128,0.99
SFI1,0.99
CLASP1,0.99
CEP57,0.9890000000000001
CEP164,0.9890000000000001
CEP250,0.988
TEDC2,0.988
CEP192,0.988
CEP63,0.988
BORA,0.988
PRKAR2B,0.988
CEP72,0.987
CEP295,0.986
TUBE1,0.986
CCNB2,0.985
RTTN,0.985
CEP290,0.985
CEP170,0.985
CEP120,0.985
AKAP9,0.9840000000000001
CCNB1,0.9840000000000001
HAUS2,0.983
TUBG1,0.982
CEP131,0.981
SSNA1,0.981
DCTN3,0.98
DCTN1,0.98
TBC1D31,0.98
SSX2IP,0.98
CEP41,0.9790000000000001
RAB8A,0.9790000000000001
CEP350,0.978
CEP162,0.978
CEP70,0.977
TEDC1,0.977
CEP78,0.975
MAPRE1,0.975
ACTR1A,0.9740000000000001
TUBGCP4,0.9740000000000001
PAFAH1B1,0.972
PLK1,0.972
SDCCAG8,0.972
CDK1,0.971
KIAA0753,0.971
DYNC1I2,0.971
TUBGCP3,0.97
MIB1,0.97
YWHAG,0.97
CCDC138,0.9670000000000001
GPATCH1,0.9670000000000001
SPICE1,0.966
HAUS4,0.965
CETN1,0.965
DYNC1H1,0.965
PIBF1,0.9640000000000001
CEP20,0.963
MIS18A,0.963
CCDC77,0.963
CENPE,0.9620000000000001
CEP55,0.9620000000000001
HAUS6,0.961
NDC80,0.961
TUBA1A,0.961
CEP85,0.961
TUBGCP2,0.961
ARL13B,0.96
CCDC18,0.9590000000000001
AURKA,0.9590000000000001
CSNK1E,0.958
HAUS1,0.958
MPHOSPH9,0.9570000000000001
HAUS3,0.956
NINL,0.955
TUBD1,0.955
XRCC2,0.9540000000000001
YWHAE,0.953
CSNK1D,0.953
EXO1,0.953
GTSE1,0.9520000000000001
TUBB4B,0.95
