Symbol,Score
CEP135,0.9990000000000001
STIL,0.998
PLK4,0.998
NIN,0.997
PCNT,0.997
NDC80,0.996
CCP110,0.996
CEP43,0.995
CEP192,0.9940000000000001
CEP152,0.9940000000000001
CDK5RAP2,0.9940000000000001
CENPJ,0.9940000000000001
OFD1,0.993
CCDC18,0.992
CEP131,0.992
PCM1,0.992
AKAP9,0.992
ODF2,0.992
CEP76,0.991
TUBGCP6,0.991
CEP250,0.99
CEP164,0.99
CEP295,0.99
SFI1,0.9890000000000001
CEP72,0.9890000000000001
CNTRL,0.988
PIBF1,0.988
NEDD1,0.988
CEP290,0.987
CEP20,0.987
ALMS1,0.987
CEP120,0.987
CEP128,0.987
CCNB2,0.985
TEDC2,0.985
HAUS1,0.9840000000000001
CEP70,0.9840000000000001
RAB8A,0.982
CEP41,0.982
CEP97,0.982
WRAP73,0.982
MIS18A,0.981
CEP63,0.98
PLK1,0.98
KIF11,0.9790000000000001
CEP78,0.9790000000000001
CEP170,0.978
CCNB1,0.978
SSNA1,0.978
NDE1,0.977
ENTR1,0.977
CCDC77,0.976
HAUS4,0.976
TBC1D31,0.976
TTK,0.975
MAPRE1,0.975
HAUS2,0.975
BORA,0.975
TUBGCP5,0.975
TUBG1,0.975
RTTN,0.9740000000000001
HAUS3,0.973
CEP57,0.973
MPHOSPH9,0.971
SPATA5L1,0.971
TEDC1,0.971
CENPE,0.97
KIAA0753,0.97
CEP350,0.97
CLASP1,0.9690000000000001
CDK1,0.9670000000000001
NINL,0.966
C1ORF109,0.965
SSX2IP,0.965
BUB1,0.9620000000000001
ESPL1,0.9620000000000001
TUBGCP3,0.9620000000000001
GPATCH1,0.961
NUP160,0.96
KIF15,0.9590000000000001
PRKAR2B,0.958
MAD2L1,0.958
CEP162,0.9570000000000001
KNL1,0.956
PAFAH1B1,0.956
CEP55,0.956
MIB1,0.955
CEP44,0.955
NUF2,0.955
BICD2,0.955
KIF2C,0.9540000000000001
TUBGCP4,0.9540000000000001
CDC20,0.9520000000000001
CEP85,0.9520000000000001
FANCM,0.9520000000000001
SPATA5,0.951
SPICE1,0.951
KTI12,0.951
KNTC1,0.951
CCDC138,0.95
